TIMESTAMP,DATETIME,GLOBAL_CELL_ID,CELLT_AVG_NUM_SESS,CELLT_AVG_THP_DL,CELLT_AVG_RESR_PER_TTI_DL,CELLT_AVG_THPMRF_DL,CELLT_SUM_THPTIME_DL,CELLT_SUM_ACKVOL_DL,CELLT_AGG_THPMRF_TOTAL_DL,CELLT_AGG_COLL_PER_TTI_DL,CELLT_AGG_PAYLOAD_FRAC_DL,CELLT_AGG_SPECF_DL,CELLT_AGG_THP_DL,DATETIME_UTC,DATETIME_Melbourne,WEEKDAY_UTC,HOUR_UTC,MONTH_UTC,MINUTE_OF_DAY_UTC,DATE_UTC,WEEKDAY_Melbourne,HOUR_Melbourne,MONTH_Melbourne,MINUTE_OF_DAY_Melbourne,DATE_Melbourne
1461807000,2016-04-28 01:30:00,136046093,33.8902333577474,6609.70610745699,4067.40989453339,3602.77067648205,30.9045015625533,49572795.8059275,10167.0273128856,1.47316870534947,0.9951183455334671,1.82217750126443,12887.6418340266,2016-04-28 01:30:00+00:00,2016-04-28 11:30:00+10:00,28,1,4,90,2016_4_28,28,11,4,690,2016_4_28
1461807060,2016-04-28 01:31:00,136046093,39.0485000093778,3181.12824306155,2672.57696531258,2089.2773146919603,22.618827102442,23858461.822961602,7542.47468986453,1.36588081724489,1.14446487099567,1.53658241617655,8569.07894251539,2016-04-28 01:31:00+00:00,2016-04-28 11:31:00+10:00,28,1,4,91,2016_4_28,28,11,4,691,2016_4_28
1461807120,2016-04-28 01:32:00,136046093,42.142816654841106,4692.91093712642,4065.4968293979705,3355.94750992156,31.7519905465372,35196832.02844821,9194.91745654714,1.43555860380423,0.998760352325491,1.3444097101978099,8944.76734874923,2016-04-28 01:32:00+00:00,2016-04-28 11:32:00+10:00,28,1,4,92,2016_4_28,28,11,4,692,2016_4_28
1461807180,2016-04-28 01:33:00,136046093,37.4285666783651,4812.22823754609,3904.4236799112396,3195.17734238165,26.7359515988157,36091711.7815957,10397.214881797,1.46624507274341,1.01179724537298,1.48734675204529,10910.0006167355,2016-04-28 01:33:00+00:00,2016-04-28 11:33:00+10:00,28,1,4,93,2016_4_28,28,11,4,693,2016_4_28
1461807240,2016-04-28 01:34:00,136046093,34.7355666518211,3826.13231397045,3059.2303393023903,2402.2252438142605,17.5755164028778,28695992.3547783,11111.8178245772,1.4164254777724201,0.9925804963004351,1.59275237188257,13224.861660279099,2016-04-28 01:34:00+00:00,2016-04-28 11:34:00+10:00,28,1,4,94,2016_4_28,28,11,4,694,2016_4_28
1461807300,2016-04-28 01:35:00,136046093,39.3521166523298,4970.33982919693,4289.373083946861,3462.9304811972197,30.3113197922518,37277548.718977004,10326.5350874158,1.52931859454343,0.989959309159784,1.47495139166574,9882.90991868315,2016-04-28 01:35:00+00:00,2016-04-28 11:35:00+10:00,28,1,4,95,2016_4_28,28,11,4,695,2016_4_28
1461807360,2016-04-28 01:36:00,136046093,39.737549980481504,5184.806772494439,4543.790968439629,3763.52305516807,35.4913007701291,38886050.793708295,10557.9849450466,1.65509612326285,0.9905683184287621,1.37829766216373,8851.45619688042,2016-04-28 01:36:00+00:00,2016-04-28 11:36:00+10:00,28,1,4,96,2016_4_28,28,11,4,696,2016_4_28
1461807420,2016-04-28 01:37:00,136046093,46.1064833521843,10018.409964095,6511.39029676535,5591.245481981071,48.0894982961483,75138074.7307123,11688.455674723898,1.71924280636224,0.987549661411442,1.80841986982494,12561.0093364515,2016-04-28 01:37:00+00:00,2016-04-28 11:37:00+10:00,28,1,4,97,2016_4_28,28,11,4,697,2016_4_28
1461807480,2016-04-28 01:38:00,136046093,45.05368332465489,7665.24188532775,5631.055898885439,4807.395123143329,46.645646794263705,57489314.1399582,10804.3427943804,1.72899840647766,0.987228410478429,1.58883966579983,9927.086148175269,2016-04-28 01:38:00+00:00,2016-04-28 11:38:00+10:00,28,1,4,98,2016_4_28,28,11,4,698,2016_4_28
1461807540,2016-04-28 01:39:00,136046093,40.143066680431396,4968.290740906889,3973.6487987807104,3273.4894123653003,31.867014910527395,37262180.55680171,10357.534811843001,1.68802927855259,0.9862896232629208,1.48221049331893,9367.02583867167,2016-04-28 01:39:00+00:00,2016-04-28 11:39:00+10:00,28,1,4,99,2016_4_28,28,11,4,699,2016_4_28
