TIMESTAMP,DATETIME,GLOBAL_CELL_ID,CELLT_AVG_NUM_SESS,CELLT_AVG_THP_DL,CELLT_AVG_RESR_PER_TTI_DL,CELLT_AVG_THPMRF_DL,CELLT_SUM_THPTIME_DL,CELLT_SUM_ACKVOL_DL,CELLT_AGG_THPMRF_TOTAL_DL,CELLT_AGG_COLL_PER_TTI_DL,CELLT_AGG_PAYLOAD_FRAC_DL,CELLT_AGG_SPECF_DL,CELLT_AGG_THP_DL,DATETIME_UTC,DATETIME_Melbourne,WEEKDAY_UTC,HOUR_UTC,MONTH_UTC,MINUTE_OF_DAY_UTC,DATE_UTC,WEEKDAY_Melbourne,HOUR_Melbourne,MONTH_Melbourne,MINUTE_OF_DAY_Melbourne,DATE_Melbourne
1474585200,2016-09-22 23:00:00,136046093,27.967300025622002,8073.47052480289,5433.178011228,5070.60793001539,57.215749333855,60551028.9360216,11497.526318586699,2.12582712314814,1.06577016757395,1.57619775956127,8446.352968931391,2016-09-22 23:00:00+00:00,2016-09-23 09:00:00+10:00,22,23,9,1380,2016_9_22,23,9,9,540,2016_9_23
1474585260,2016-09-22 23:01:00,136046093,28.3039333343506,8271.71610854746,6964.91877564338,6549.3140061904505,58.9823626268552,62037870.8141059,12452.1806567515,1.99749892878216,1.04220445510557,1.30997752036743,8421.3895550326,2016-09-22 23:01:00+00:00,2016-09-23 09:01:00+10:00,22,23,9,1381,2016_9_22,23,9,9,541,2016_9_23
1474585320,2016-09-22 23:02:00,136046093,32.9252499898275,5770.86820970995,4575.500706808761,4131.34261403231,36.1648029708745,43281511.572824605,11154.692474538899,1.65649906195344,1.00916516385235,1.43553813091634,9581.28901139068,2016-09-22 23:02:00+00:00,2016-09-23 09:02:00+10:00,22,23,9,1382,2016_9_22,23,9,9,542,2016_9_23
1474585380,2016-09-22 23:03:00,136046093,35.3138666709264,7688.842354656541,6346.6503176016195,5871.20219257787,52.959918539190596,57666317.659924,11309.7532405353,1.71486870597884,1.00033045038945,1.36413269513221,8710.8647080075,2016-09-22 23:03:00+00:00,2016-09-23 09:03:00+10:00,22,23,9,1383,2016_9_22,23,9,9,543,2016_9_23
1474585440,2016-09-22 23:04:00,136046093,39.2608999888102,8498.69244495098,6514.125340004571,5984.399048632321,57.27706926398089,63740193.337132394,11183.8578199084,1.77777527433294,1.05769298169604,1.32488223828697,8895.180504230591,2016-09-22 23:04:00+00:00,2016-09-23 09:04:00+10:00,22,23,9,1384,2016_9_22,23,9,9,544,2016_9_23
1474585500,2016-09-22 23:05:00,136046093,30.479316691557603,6023.4495634922105,5333.5186265197,4857.3380029992295,40.6740139345911,45175871.7261916,11405.193503273998,1.64509369747204,1.04030366659472,1.17448013320603,8872.807275573829,2016-09-22 23:05:00+00:00,2016-09-23 09:05:00+10:00,22,23,9,1385,2016_9_22,23,9,9,545,2016_9_23
1474585560,2016-09-22 23:06:00,136046093,29.9362333456675,2221.97569950185,3049.93335802328,2584.80010825313,18.8418500919123,16664817.7462639,10733.1604111083,1.34857902812029,1.00116019578881,0.800165867938781,7054.68450720835,2016-09-22 23:06:00+00:00,2016-09-23 09:06:00+10:00,22,23,9,1386,2016_9_22,23,9,9,546,2016_9_23
1474585620,2016-09-22 23:07:00,136046093,29.3321666757266,1690.3486566918698,2127.68175048466,1663.65968882106,10.308329707423699,12677614.925189098,11104.5386958877,1.17690451212626,1.00134938072358,0.998594006319105,9796.393377409258,2016-09-22 23:07:00+00:00,2016-09-23 09:07:00+10:00,22,23,9,1387,2016_9_22,23,9,9,547,2016_9_23
1474585680,2016-09-22 23:08:00,136046093,23.8861166954041,4491.49009209636,3340.3250782675,2937.73936946739,16.2768547867127,33686175.6907227,13865.1083781403,1.2911981737946001,1.0044990389916302,1.5544315982683403,16670.0595359584,2016-09-22 23:08:00+00:00,2016-09-23 09:08:00+10:00,22,23,9,1388,2016_9_22,23,9,9,548,2016_9_23
1474585740,2016-09-22 23:09:00,136046093,23.212266683578502,2686.37958155401,2348.408604667,1921.56827910617,11.037859462390198,20147846.861655,12341.157753981699,1.19432264509855,1.0057480460322499,1.39011490717584,14661.1268009925,2016-09-22 23:09:00+00:00,2016-09-23 09:09:00+10:00,22,23,9,1389,2016_9_22,23,9,9,549,2016_9_23
1474585800,2016-09-22 23:10:00,136046093,26.9136166413625,2988.7175611404305,2209.59807112279,1785.5030545522898,12.1692231126399,22415381.7085532,10876.7538821173,1.26695300457942,1.06002191050221,1.6438224835421598,14866.1919373908,2016-09-22 23:10:00+00:00,2016-09-23 09:10:00+10:00,22,23,9,1390,2016_9_22,23,9,9,550,2016_9_23
1474585860,2016-09-22 23:11:00,136046093,36.0041999697685,3946.1915011430797,3174.00587041289,2518.12464825398,19.935509286153103,29596436.2585731,10143.0067853873,1.3494542310813,1.01068746056842,1.56260532561763,11929.3153643781,2016-09-22 23:11:00+00:00,2016-09-23 09:11:00+10:00,22,23,9,1391,2016_9_22,23,9,9,551,2016_9_23
1474585920,2016-09-22 23:12:00,136046093,33.8009499708811,5468.7799631988,4890.41812847595,4289.31259398585,38.435095733701,41015849.723991,11110.3098174755,1.6187124104503,0.996007995209846,1.28044819674736,8530.667527164871,2016-09-22 23:12:00+00:00,2016-09-23 09:12:00+10:00,22,23,9,1392,2016_9_22,23,9,9,552,2016_9_23
1474585980,2016-09-22 23:13:00,136046093,33.3579833189646,7722.08621949565,7526.422791560509,6982.38804828041,56.3844993617958,57915646.646217294,12473.757008201,1.70981253042379,0.9945115569335591,1.11239980575629,8212.44904735392,2016-09-22 23:13:00+00:00,2016-09-23 09:13:00+10:00,22,23,9,1393,2016_9_22,23,9,9,553,2016_9_23
1474586040,2016-09-22 23:14:00,136046093,27.7657333254814,6707.47411671318,5571.8382880596,4960.192576073479,32.0339061686184,50306055.8753488,13401.0805745335,1.4760885195884699,0.9917590583743671,1.3332514018243,12584.2826489306,2016-09-22 23:14:00+00:00,2016-09-23 09:14:00+10:00,22,23,9,1394,2016_9_22,23,9,9,554,2016_9_23
1474586100,2016-09-22 23:15:00,136046093,21.0316333333651,7500.49895407626,5646.05874561909,5311.231355341811,51.2333375657794,56253742.1555719,10293.0974487244,1.67542844402386,1.00891974760373,1.35695989251736,8768.797426128009,2016-09-22 23:15:00+00:00,2016-09-23 09:15:00+10:00,22,23,9,1395,2016_9_22,23,9,9,555,2016_9_23
1474586160,2016-09-22 23:16:00,136046093,23.959016676743804,7022.4644009885305,4817.88555810351,4361.0748186969895,41.499759257691295,52668483.007414,11183.282917216799,1.7871098881404701,1.0076822119759101,1.7762119852753402,10156.7720221151,2016-09-22 23:16:00+00:00,2016-09-23 09:16:00+10:00,22,23,9,1396,2016_9_22,23,9,9,556,2016_9_23
1474586220,2016-09-22 23:17:00,136046093,23.221549999713897,4729.63641847425,4472.11756090762,4071.3529797400397,36.5660578850202,35472273.1385569,10800.165982627701,1.68013097725638,0.9997691722484929,1.24423982906155,7766.58150285173,2016-09-22 23:17:00+00:00,2016-09-23 09:17:00+10:00,22,23,9,1397,2016_9_22,23,9,9,557,2016_9_23
1474586280,2016-09-22 23:18:00,136046093,24.1295000076294,2289.99808427708,2453.85536058901,1967.3653405658702,11.1564026456137,17174985.6320781,12408.993638606002,1.2290645537014098,1.0141893523610699,1.21656790069451,12349.5364586527,2016-09-22 23:18:00+00:00,2016-09-23 09:18:00+10:00,22,23,9,1398,2016_9_22,23,9,9,558,2016_9_23
