,ambient_light,current_datetime,humidity,pressure,temperature,time_index,timestamp
0,486.08,15_07_2020-05:11:43,6.405,101.030160156,53.552,0,1594789903
1,208.32,15_07_2020-05:11:45,6.059,101.028726562,52.608,1,1594789905
2,65.36,15_07_2020-05:11:46,7.781,101.033574218,52.208,2,1594789906
3,52.48,15_07_2020-05:11:47,5.473,101.122605468,51.938,3,1594789907
4,55.4,15_07_2020-05:11:48,6.103,101.130601562,51.719,4,1594789908
5,40.2,15_07_2020-05:11:49,4.508,101.152914062,57.981,5,1594789909
6,43.6,15_07_2020-05:11:50,3.051,101.143292968,57.973,6,1594789910
7,50.36,15_07_2020-05:11:52,0.035,101.13540625,60.448,7,1594789912
8,50.44,15_07_2020-05:11:53,1.129,101.135171875,61.992,8,1594789913
9,41.34,15_07_2020-05:11:54,0.001,101.169484375,64.935,9,1594789914
10,36.58,15_07_2020-05:11:55,0.375,101.1620625,64.922,10,1594789915
11,37.19,15_07_2020-05:11:56,0.001,101.136167968,65.821,11,1594789916
12,37.32,15_07_2020-05:11:57,0.0,101.124964843,68.155,12,1594789917
13,36.88,15_07_2020-05:11:58,0.001,101.130867187,68.188,13,1594789918
14,37.6,15_07_2020-05:12:00,0.0,101.130058593,68.719,14,1594789920
15,39.5,15_07_2020-05:12:01,0.001,101.123234375,70.161,15,1594789921
16,39.84,15_07_2020-05:12:02,0.0,101.122351562,71.03,16,1594789922
17,43.04,15_07_2020-05:12:03,0.001,101.119082031,71.32,17,1594789923
18,41.68,15_07_2020-05:12:04,0.0,101.11728125,71.972,18,1594789924
19,43.96,15_07_2020-05:12:05,0.001,101.115558593,72.573,19,1594789925
20,44.78,15_07_2020-05:12:06,0.0,101.113867187,73.588,20,1594789926
21,38.9,15_07_2020-05:12:08,0.001,101.039714843,74.341,21,1594789928
22,469.44,15_07_2020-05:12:09,0.0,101.009066406,74.308,22,1594789929
23,488.96,15_07_2020-05:12:10,0.001,101.007484375,74.255,23,1594789930
24,491.2,15_07_2020-05:12:11,0.0,101.011304687,71.035,24,1594789931
25,490.88,15_07_2020-05:12:12,0.001,101.011832031,69.935,25,1594789932
26,490.88,15_07_2020-05:12:13,0.0,101.013253906,69.001,26,1594789933
27,490.88,15_07_2020-05:12:15,0.001,101.014375,68.46,27,1594789935
28,490.88,15_07_2020-05:12:16,0.0,101.010082031,67.606,28,1594789936
29,490.88,15_07_2020-05:12:17,0.001,101.014828125,66.712,29,1594789937
30,490.56,15_07_2020-05:12:18,0.115,101.014296875,65.904,30,1594789938
31,490.56,15_07_2020-05:12:19,0.471,101.019492187,65.156,31,1594789939
32,490.56,15_07_2020-05:12:20,0.0,101.016359375,64.268,32,1594789940
33,490.24,15_07_2020-05:12:21,0.001,101.023695312,63.399,33,1594789941
34,490.56,15_07_2020-05:12:23,0.0,101.024011718,62.606,34,1594789943
35,490.56,15_07_2020-05:12:24,0.871,101.02234375,61.883,35,1594789944
36,490.56,15_07_2020-05:12:25,0.625,101.025601562,61.171,36,1594789945
37,490.24,15_07_2020-05:12:26,0.001,101.023210937,60.524,37,1594789946
38,489.92,15_07_2020-05:12:27,1.223,101.028195312,59.806,38,1594789947
39,489.92,15_07_2020-05:12:28,3.401,101.027214843,59.27,39,1594789948
40,490.24,15_07_2020-05:12:30,1.495,101.026480468,57.857,40,1594789950
41,489.92,15_07_2020-05:12:31,1.972,101.026980468,57.885,41,1594789951
42,489.92,15_07_2020-05:12:32,1.107,101.031585937,57.228,42,1594789952
43,489.6,15_07_2020-05:12:33,3.623,101.031449218,56.531,43,1594789953
44,489.92,15_07_2020-05:12:34,2.664,101.033320312,56.05,44,1594789954
45,489.92,15_07_2020-05:12:35,5.015,101.027804687,55.403,45,1594789955
