,ambient_light,current_datetime,humidity,pressure,temperature,time_index,timestamp
0,206.56,24_07_2020-22:58:40,13.258,100.914382812,43.726,0,1595631520
1,251.52,24_07_2020-22:58:41,14.166,100.952886718,43.421,1,1595631521
2,340.96,24_07_2020-22:58:42,14.186,100.961949218,43.746,2,1595631522
3,476.8,24_07_2020-22:58:43,13.385,100.950011718,43.753,3,1595631523
4,96.0,24_07_2020-22:58:44,12.559,101.038554687,44.133,4,1595631524
5,148.96,24_07_2020-22:58:46,12.5,101.0315,44.232,5,1595631526
6,139.04,24_07_2020-22:58:47,12.474,101.014367187,47.814,6,1595631527
7,73.04,24_07_2020-22:58:48,9.323,101.043226562,47.797,7,1595631528
8,79.04,24_07_2020-22:58:49,9.584,101.015960937,48.479,8,1595631529
9,93.76,24_07_2020-22:58:50,9.246,101.024359375,48.915,9,1595631530
10,72.92,24_07_2020-22:58:51,9.059,101.036035156,47.925,10,1595631531
11,87.76,24_07_2020-22:58:52,7.922,101.032042968,48.648,11,1595631532
12,97.92,24_07_2020-22:58:54,7.231,101.021894531,49.436,12,1595631534
13,111.84,24_07_2020-22:58:55,8.508,101.018785156,49.524,13,1595631535
14,101.84,24_07_2020-22:58:56,8.735,101.042894531,49.224,14,1595631536
15,124.24,24_07_2020-22:58:57,8.178,101.024183593,49.343,15,1595631537
16,105.68,24_07_2020-22:58:58,7.481,101.028386718,49.949,16,1595631538
17,81.36,24_07_2020-22:58:59,8.602,101.038285156,50.209,17,1595631539
18,77.16,24_07_2020-22:59:01,8.485,101.038878906,50.257,18,1595631541
19,118.04,24_07_2020-22:59:02,6.259,101.021742187,50.622,19,1595631542
20,220.48,24_07_2020-22:59:03,6.809,100.993097656,51.017,20,1595631543
21,266.56,24_07_2020-22:59:04,7.803,100.968191406,50.974,21,1595631544
22,437.44,24_07_2020-22:59:05,6.965,100.964386718,51.178,22,1595631545
23,308.8,24_07_2020-22:59:06,7.18,100.924390625,50.899,23,1595631546
24,628.16,24_07_2020-22:59:07,7.362,100.910621093,50.589,24,1595631547
25,627.84,24_07_2020-22:59:09,9.146,100.907421875,50.133,25,1595631549
