,ambient_light,current_datetime,humidity,pressure,temperature,time_index,timestamp
0,464.96,17_07_2020-06:11:44,5.654,101.061015625,53.905,0,1594966304
1,248.16,17_07_2020-06:11:45,6.098,101.061652343,52.694,1,1594966305
2,144.8,17_07_2020-06:11:46,7.321,101.117003906,52.228,2,1594966306
3,70.28,17_07_2020-06:11:47,6.33,101.162578125,51.828,3,1594966307
4,45.68,17_07_2020-06:11:49,6.939,101.199363281,54.579,4,1594966309
5,50.92,17_07_2020-06:11:50,3.001,101.161183593,55.921,5,1594966310
6,56.88,17_07_2020-06:11:51,1.986,101.163007812,59.544,6,1594966311
7,53.52,17_07_2020-06:11:52,0.001,101.167164062,60.494,7,1594966312
8,60.24,17_07_2020-06:11:53,0.0,101.146367187,62.853,8,1594966313
9,42.16,17_07_2020-06:11:54,0.001,101.139140625,64.069,9,1594966314
10,56.96,17_07_2020-06:11:55,0.0,101.130644531,65.39,10,1594966315
11,52.6,17_07_2020-06:11:57,1.164,101.134492187,64.487,11,1594966317
12,41.18,17_07_2020-06:11:58,0.0,101.142238281,65.345,12,1594966318
13,43.42,17_07_2020-06:11:59,0.001,101.140226562,66.878,13,1594966319
14,42.08,17_07_2020-06:12:00,0.0,101.151269531,68.603,14,1594966320
15,41.68,17_07_2020-06:12:01,0.001,101.146109375,68.485,15,1594966321
16,45.36,17_07_2020-06:12:02,0.0,101.1450625,68.447,16,1594966322
17,41.08,17_07_2020-06:12:04,0.001,101.14284375,69.522,17,1594966324
18,51.56,17_07_2020-06:12:05,0.0,101.12509375,69.746,18,1594966325
19,51.68,17_07_2020-06:12:06,0.001,101.132425781,70.479,19,1594966326
20,54.2,17_07_2020-06:12:07,0.0,101.131738281,70.743,20,1594966327
21,58.48,17_07_2020-06:12:08,0.001,101.03515625,70.902,21,1594966328
22,470.72,17_07_2020-06:12:09,0.0,101.034589843,71.906,22,1594966329
23,470.08,17_07_2020-06:12:10,0.001,101.04059375,70.433,23,1594966330
24,470.4,17_07_2020-06:12:12,0.0,101.0380625,68.981,24,1594966332
25,470.08,17_07_2020-06:12:13,0.001,101.038054687,68.047,25,1594966333
26,470.08,17_07_2020-06:12:14,0.0,101.03809375,67.621,26,1594966334
27,470.08,17_07_2020-06:12:15,0.001,101.039292968,67.04,27,1594966335
28,470.08,17_07_2020-06:12:16,0.0,101.039660156,66.392,28,1594966336
29,469.76,17_07_2020-06:12:17,0.001,101.041582031,65.861,29,1594966337
30,469.76,17_07_2020-06:12:19,0.0,101.046113281,65.395,30,1594966339
31,469.76,17_07_2020-06:12:20,0.001,101.044652343,64.784,31,1594966340
32,469.76,17_07_2020-06:12:21,0.265,101.0469375,64.091,32,1594966341
33,469.76,17_07_2020-06:12:22,1.383,101.049863281,63.485,33,1594966342
34,469.44,17_07_2020-06:12:23,0.0,101.049882812,62.102,34,1594966343
