,ambient_light,current_datetime,humidity,pressure,temperature,time_index,timestamp
0,240.0,18_07_2020-02:13:14,6.378,101.042328125,52.173,0,1595038394
1,213.12,18_07_2020-02:13:15,7.432,101.078050781,51.289,1,1595038395
2,145.28,18_07_2020-02:13:16,6.616,101.140386718,51.085,2,1595038396
3,218.72,18_07_2020-02:13:18,6.712,101.134621093,53.469,3,1595038398
4,374.4,18_07_2020-02:13:19,4.531,101.123367187,56.881,4,1595038399
5,233.92,18_07_2020-02:13:20,5.995,101.129,56.561,5,1595038400
6,174.72,18_07_2020-02:13:21,5.2,101.1286875,58.487,6,1595038401
7,137.6,18_07_2020-02:13:22,2.818,101.145796875,61.178,7,1595038402
8,131.68,18_07_2020-02:13:23,0.497,101.130003906,62.747,8,1595038403
9,137.44,18_07_2020-02:13:24,1.39,101.121238281,64.995,9,1595038404
10,137.04,18_07_2020-02:13:26,1.202,101.121910156,65.244,10,1595038406
11,145.04,18_07_2020-02:13:27,0.691,101.116777343,65.65,11,1595038407
12,143.68,18_07_2020-02:13:28,0.778,101.110292968,67.248,12,1595038408
13,158.4,18_07_2020-02:13:29,0.001,101.104140625,67.206,13,1595038409
14,163.68,18_07_2020-02:13:30,0.0,101.110554687,68.427,14,1595038410
15,156.0,18_07_2020-02:13:31,0.001,101.112941406,68.439,15,1595038411
16,156.16,18_07_2020-02:13:33,0.369,101.104699218,68.991,16,1595038413
17,166.96,18_07_2020-02:13:34,0.001,101.110390625,69.915,17,1595038414
18,167.76,18_07_2020-02:13:35,0.808,101.108632812,70.426,18,1595038415
19,172.96,18_07_2020-02:13:36,0.001,101.100714843,71.692,19,1595038416
20,195.68,18_07_2020-02:13:37,0.0,101.098316406,72.239,20,1595038417
21,253.44,18_07_2020-02:13:38,0.001,101.062132812,72.392,21,1595038418
22,690.24,18_07_2020-02:13:39,0.0,101.021378906,72.324,22,1595038419
23,704.64,18_07_2020-02:13:41,0.761,101.021695312,70.977,23,1595038421
24,704.0,18_07_2020-02:13:42,0.0,101.021890625,67.536,24,1595038422
25,704.0,18_07_2020-02:13:43,0.358,101.024460937,66.465,25,1595038423
26,704.64,18_07_2020-02:13:44,0.0,101.026371093,65.003,26,1595038424
27,704.0,18_07_2020-02:13:45,0.764,101.02328125,64.98,27,1595038425
28,704.0,18_07_2020-02:13:46,1.779,101.026460937,64.338,28,1595038426
29,704.0,18_07_2020-02:13:47,0.404,101.029792968,63.615,29,1595038427
30,704.0,18_07_2020-02:13:49,2.056,101.030964843,62.243,30,1595038429
31,703.36,18_07_2020-02:13:50,4.386,101.026351562,62.246,31,1595038430
32,703.36,18_07_2020-02:13:51,0.836,101.027429687,61.503,32,1595038431
33,703.36,18_07_2020-02:13:52,2.174,101.034828125,60.186,33,1595038432
34,703.36,18_07_2020-02:13:53,2.227,101.03525,60.229,34,1595038433
35,703.36,18_07_2020-02:13:54,5.516,101.037058593,59.552,35,1595038434
36,702.72,18_07_2020-02:13:56,5.163,101.035007812,58.88,36,1595038436
37,702.72,18_07_2020-02:13:57,5.259,101.041683593,58.338,37,1595038437
38,702.72,18_07_2020-02:13:58,3.341,101.037007812,57.606,38,1595038438
39,702.72,18_07_2020-02:13:59,4.917,101.04090625,57.074,39,1595038439
40,702.72,18_07_2020-02:14:00,4.095,101.040542968,56.422,40,1595038440
