,ambient_light,current_datetime,humidity,pressure,temperature,time_index,timestamp
0,206.88,28_07_2020-01:55:12,9.953,100.840714843,49.073,0,1595901312
1,211.2,28_07_2020-01:55:13,10.461,100.841578125,48.728,1,1595901313
2,213.6,28_07_2020-01:55:14,10.639,100.840675781,48.595,2,1595901314
3,213.6,28_07_2020-01:55:15,11.566,100.840257812,48.471,3,1595901315
4,199.84,28_07_2020-01:55:16,11.427,100.909644531,48.303,4,1595901316
5,171.44,28_07_2020-01:55:17,10.998,100.934308593,48.033,5,1595901317
6,126.72,28_07_2020-01:55:19,10.215,100.914078125,48.852,6,1595901319
7,87.6,28_07_2020-01:55:20,9.57,100.916613281,50.279,7,1595901320
8,132.64,28_07_2020-01:55:21,8.305,100.92096875,50.191,8,1595901321
9,71.68,28_07_2020-01:55:22,9.313,100.930777343,50.34,9,1595901322
10,72.64,28_07_2020-01:55:23,7.768,100.934640625,50.765,10,1595901323
11,79.76,28_07_2020-01:55:24,9.32,100.936464843,51.765,11,1595901324
12,81.24,28_07_2020-01:55:25,7.099,100.923125,52.462,12,1595901325
13,75.14,28_07_2020-01:55:27,10.662,100.914917968,52.772,13,1595901327
14,47.6,28_07_2020-01:55:28,8.085,100.961097656,52.381,14,1595901328
15,68.1,28_07_2020-01:55:29,7.522,100.938371093,52.414,15,1595901329
16,75.84,28_07_2020-01:55:30,6.858,100.919023437,53.988,16,1595901330
17,68.96,28_07_2020-01:55:31,6.539,100.919550781,53.96,17,1595901331
18,79.92,28_07_2020-01:55:32,9.733,100.917265625,53.253,18,1595901332
19,105.92,28_07_2020-01:55:34,7.196,100.908871093,52.928,19,1595901334
20,85.88,28_07_2020-01:55:35,7.225,100.909472656,53.011,20,1595901335
21,81.28,28_07_2020-01:55:36,7.681,100.851429687,53.497,21,1595901336
22,212.32,28_07_2020-01:55:37,7.929,100.8369375,53.071,22,1595901337
23,212.0,28_07_2020-01:55:38,8.761,100.836960937,53.034,23,1595901338
24,211.84,28_07_2020-01:55:39,6.282,100.836382812,52.432,24,1595901339
25,211.68,28_07_2020-01:55:40,7.031,100.836929687,52.137,25,1595901340
26,211.68,28_07_2020-01:55:42,10.264,100.835667968,51.974,26,1595901342
27,211.68,28_07_2020-01:55:43,10.549,100.834640625,51.901,27,1595901343
28,211.68,28_07_2020-01:55:44,8.735,100.835992187,51.742,28,1595901344
29,211.52,28_07_2020-01:55:45,10.751,100.8341875,51.568,29,1595901345
30,211.52,28_07_2020-01:55:46,10.099,100.833246093,51.339,30,1595901346
31,211.68,28_07_2020-01:55:47,9.057,100.834425781,51.352,31,1595901347
32,211.52,28_07_2020-01:55:48,7.124,100.837933593,51.208,32,1595901348
33,211.52,28_07_2020-01:55:50,8.441,100.836464843,51.009,33,1595901350
34,202.88,28_07_2020-01:55:51,9.748,100.836628906,50.992,34,1595901351
35,195.2,28_07_2020-01:55:52,9.112,100.83984375,50.773,35,1595901352
36,193.76,28_07_2020-01:55:53,7.588,100.84128125,50.73,36,1595901353
37,194.88,28_07_2020-01:55:54,11.459,100.838410156,50.551,37,1595901354
38,195.84,28_07_2020-01:55:55,10.386,100.837839843,50.418,38,1595901355
39,191.68,28_07_2020-01:55:57,9.246,100.839890625,50.249,39,1595901357
40,190.72,28_07_2020-01:55:58,10.237,100.83934375,50.121,40,1595901358
41,195.84,28_07_2020-01:55:59,9.457,100.839722656,49.972,41,1595901359
42,195.84,28_07_2020-01:56:00,9.809,100.84159375,49.783,42,1595901360
43,195.84,28_07_2020-01:56:01,10.006,100.843101562,49.73,43,1595901361
44,195.84,28_07_2020-01:56:02,10.154,100.839851562,49.652,44,1595901362
45,195.84,28_07_2020-01:56:03,9.838,100.842320312,49.423,45,1595901363
46,195.52,28_07_2020-01:56:05,10.282,100.838546875,49.375,46,1595901365
47,195.52,28_07_2020-01:56:06,10.183,100.839765625,49.192,47,1595901366
48,195.52,28_07_2020-01:56:07,10.234,100.837355468,49.058,48,1595901367
49,195.52,28_07_2020-01:56:08,10.11,100.840488281,48.884,49,1595901368
50,191.68,28_07_2020-01:56:09,7.237,100.843511718,48.826,50,1595901369
51,181.92,28_07_2020-01:56:10,12.286,100.85659375,48.547,51,1595901370
52,138.48,28_07_2020-01:56:12,11.268,100.939042968,48.484,52,1595901372
53,202.56,28_07_2020-01:56:13,9.573,100.935164062,48.93,53,1595901373
54,218.4,28_07_2020-01:56:14,6.84,100.944265625,49.949,54,1595901374
55,102.72,28_07_2020-01:56:15,10.614,100.966160156,51.014,55,1595901375
56,162.32,28_07_2020-01:56:16,9.141,100.964695312,52.13,56,1595901376
57,192.72,28_07_2020-01:56:17,8.935,100.937003906,52.963,57,1595901377
58,210.32,28_07_2020-01:56:18,5.928,100.935667968,53.519,58,1595901378
59,161.12,28_07_2020-01:56:20,5.831,100.962582031,54.232,59,1595901380
60,173.6,28_07_2020-01:56:21,7.283,100.964257812,54.34,60,1595901381
