,ambient_light,current_datetime,humidity,pressure,temperature,time_index,timestamp
0,246.72,18_07_2020-02:09:20,30.969,101.116792968,35.546,0,1595038160
1,285.12,18_07_2020-02:09:21,28.865,101.101996093,36.233,1,1595038161
2,314.56,18_07_2020-02:09:23,25.335,101.120078125,40.168,2,1595038163
3,270.08,18_07_2020-02:09:24,20.628,101.113378906,43.021,3,1595038164
4,294.88,18_07_2020-02:09:25,16.876,101.139285156,45.647,4,1595038165
5,281.6,18_07_2020-02:09:26,13.56,101.138480468,47.366,5,1595038166
6,301.44,18_07_2020-02:09:27,12.649,101.119390625,50.284,6,1595038167
7,323.52,18_07_2020-02:09:28,12.08,101.092425781,53.313,7,1595038168
8,309.44,18_07_2020-02:09:29,8.523,101.093464843,53.28,8,1595038169
9,332.48,18_07_2020-02:09:31,7.414,101.095957031,57.241,9,1595038171
10,326.4,18_07_2020-02:09:32,7.833,101.103699218,57.223,10,1595038172
11,335.84,18_07_2020-02:09:33,3.697,101.096222656,57.487,11,1595038173
12,337.6,18_07_2020-02:09:34,4.354,101.105066406,59.217,12,1595038174
13,337.92,18_07_2020-02:09:35,4.466,101.108082031,59.189,13,1595038175
14,339.52,18_07_2020-02:09:36,3.457,101.115089843,59.972,14,1595038176
15,307.84,18_07_2020-02:09:38,4.377,101.097402343,60.972,15,1595038178
16,325.76,18_07_2020-02:09:39,2.188,101.110597656,61.886,16,1595038179
17,331.2,18_07_2020-02:09:40,3.709,101.11175,62.835,17,1595038180
18,325.76,18_07_2020-02:09:41,2.627,101.09646875,63.779,18,1595038181
19,326.88,18_07_2020-02:09:42,3.053,101.088207031,63.102,19,1595038182
20,325.44,18_07_2020-02:09:43,1.715,101.090132812,63.965,20,1595038183
21,324.32,18_07_2020-02:09:44,0.889,101.075410156,64.456,21,1595038184
22,569.44,18_07_2020-02:09:46,1.782,101.038058593,64.862,22,1595038186
23,713.6,18_07_2020-02:09:47,1.515,101.036175781,64.884,23,1595038187
24,713.6,18_07_2020-02:09:48,2.392,101.038765625,62.727,24,1595038188
25,712.96,18_07_2020-02:09:49,3.501,101.033863281,62.256,25,1595038189
26,712.32,18_07_2020-02:09:50,2.606,101.034269531,62.002,26,1595038190
27,712.96,18_07_2020-02:09:51,2.931,101.035921875,61.611,27,1595038191
28,712.96,18_07_2020-02:09:52,3.314,101.035148437,60.803,28,1595038192
29,711.68,18_07_2020-02:09:54,1.185,101.034929687,60.765,29,1595038194
30,711.68,18_07_2020-02:09:55,3.903,101.036304687,60.038,30,1595038195
31,712.32,18_07_2020-02:09:56,4.701,101.033667968,60.005,31,1595038196
32,712.96,18_07_2020-02:09:57,3.042,101.03428125,59.771,32,1595038197
