,ambient_light,current_datetime,humidity,pressure,temperature,time_index,timestamp
0,445.76,17_07_2020-03:18:37,45.159,100.917617187,27.328,0,1594955917
1,479.36,17_07_2020-03:18:38,42.454,100.919347656,27.345,1,1594955918
2,479.36,17_07_2020-03:18:39,44.329,100.919183593,27.398,2,1594955919
3,479.36,17_07_2020-03:18:41,42.616,100.919121093,27.386,3,1594955921
4,479.68,17_07_2020-03:18:42,42.291,100.918542968,27.484,4,1594955922
5,479.68,17_07_2020-03:18:43,42.015,100.916761718,27.34,5,1594955923
6,479.04,17_07_2020-03:18:44,43.164,100.913964843,27.318,6,1594955924
7,478.4,17_07_2020-03:18:45,42.146,100.913667968,27.396,7,1594955925
8,478.4,17_07_2020-03:18:46,42.672,100.916167968,27.378,8,1594955926
9,478.08,17_07_2020-03:18:47,44.032,100.917167968,27.486,9,1594955927
10,478.4,17_07_2020-03:18:49,43.045,100.914761718,27.474,10,1594955929
11,478.4,17_07_2020-03:18:50,44.456,100.914617187,27.356,11,1594955930
12,18.04,17_07_2020-03:18:51,43.524,100.913589843,27.388,12,1594955931
13,17.68,17_07_2020-03:18:52,43.708,100.916644531,27.436,13,1594955932
14,17.52,17_07_2020-03:18:53,41.458,100.917609375,27.338,14,1594955933
15,17.48,17_07_2020-03:18:54,42.829,100.917707031,27.376,15,1594955934
16,17.4,17_07_2020-03:18:56,44.262,100.916992187,27.358,16,1594955936
17,17.4,17_07_2020-03:18:57,43.934,100.917429687,27.315,17,1594955937
18,17.34,17_07_2020-03:18:58,43.304,100.918605468,27.308,18,1594955938
19,17.38,17_07_2020-03:18:59,42.094,100.917234375,27.345,19,1594955939
20,17.4,17_07_2020-03:19:00,43.511,100.91628125,27.283,20,1594955940
21,17.36,17_07_2020-03:19:01,43.486,100.916558593,27.285,21,1594955941
22,17.38,17_07_2020-03:19:02,43.154,100.915675781,27.338,22,1594955942
23,17.32,17_07_2020-03:19:04,43.009,100.914339843,27.255,23,1594955944
24,464.96,17_07_2020-03:19:05,43.261,100.914664062,27.393,24,1594955945
25,480.0,17_07_2020-03:19:06,41.773,100.915109375,27.285,25,1594955946
26,479.68,17_07_2020-03:19:07,44.311,100.914503906,27.167,26,1594955947
27,479.36,17_07_2020-03:19:08,43.037,100.915039062,27.199,27,1594955948
28,479.04,17_07_2020-03:19:09,43.368,100.914058593,27.192,28,1594955949
29,479.04,17_07_2020-03:19:10,44.456,100.914808593,27.204,29,1594955950
30,478.72,17_07_2020-03:19:12,43.45,100.914515625,27.177,30,1594955952
31,478.72,17_07_2020-03:19:13,44.758,100.91484375,27.159,31,1594955953
32,478.72,17_07_2020-03:19:14,43.054,100.914921875,27.142,32,1594955954
33,17.8,17_07_2020-03:19:15,43.254,100.916015625,27.356,33,1594955955
34,17.3,17_07_2020-03:19:16,42.968,100.917273437,27.313,34,1594955956
35,17.16,17_07_2020-03:19:17,44.416,100.916964843,27.32,35,1594955957
36,17.08,17_07_2020-03:19:19,43.261,100.91521875,27.147,36,1594955959
37,17.24,17_07_2020-03:19:20,42.744,100.918160156,27.134,37,1594955960
38,17.12,17_07_2020-03:19:21,41.915,100.916132812,27.111,38,1594955961
39,17.0,17_07_2020-03:19:22,42.997,100.914226562,27.26,39,1594955962
40,17.24,17_07_2020-03:19:23,42.385,100.916757812,27.207,40,1594955963
41,17.12,17_07_2020-03:19:24,44.114,100.917589843,27.104,41,1594955964
42,90.08,17_07_2020-03:19:25,43.634,100.917835937,27.262,42,1594955965
43,473.6,17_07_2020-03:19:27,44.075,100.916253906,27.144,43,1594955967
44,479.36,17_07_2020-03:19:28,43.783,100.916746093,27.101,44,1594955968
45,479.36,17_07_2020-03:19:29,42.991,100.915566406,27.189,45,1594955969
