,ambient_light,current_datetime,humidity,pressure,temperature,time_index,timestamp
0,1.58,23_07_2020-01:06:41,69.688,100.720457031,35.926,0,1595466401
1,7.7,23_07_2020-01:06:42,74.905,100.71925,35.687,1,1595466402
2,7.53,23_07_2020-01:06:43,78.578,100.721121093,35.815,2,1595466403
3,7.42,23_07_2020-01:06:44,80.343,100.720566406,35.883,3,1595466404
4,7.49,23_07_2020-01:06:45,80.928,100.719914062,35.971,4,1595466405
5,7.52,23_07_2020-01:06:46,82.55,100.720695312,35.943,5,1595466406
6,7.56,23_07_2020-01:06:48,82.865,100.721296875,36.032,6,1595466408
7,7.82,23_07_2020-01:06:49,82.76,100.7225625,36.059,7,1595466409
8,7.65,23_07_2020-01:06:50,83.283,100.722230468,36.157,8,1595466410
9,7.73,23_07_2020-01:06:51,83.706,100.72284375,36.12,9,1595466411
10,7.2,23_07_2020-01:06:52,84.056,100.720972656,36.203,10,1595466412
11,7.77,23_07_2020-01:06:53,84.503,100.721753906,36.246,11,1595466413
12,7.24,23_07_2020-01:06:54,84.19,100.723171875,36.314,12,1595466414
13,7.29,23_07_2020-01:06:56,84.091,100.725488281,36.326,13,1595466416
14,7.54,23_07_2020-01:06:57,83.277,100.723347656,36.298,14,1595466417
15,7.45,23_07_2020-01:06:58,83.941,100.724773437,36.432,15,1595466418
16,7.78,23_07_2020-01:06:59,84.611,100.723476562,36.449,16,1595466419
17,7.75,23_07_2020-01:07:00,83.721,100.726394531,36.467,17,1595466420
18,7.65,23_07_2020-01:07:01,83.616,100.72678125,36.53,18,1595466421
19,7.95,23_07_2020-01:07:02,83.889,100.726792968,36.507,19,1595466422
20,7.97,23_07_2020-01:07:04,84.553,100.728945312,36.49,20,1595466424
21,18.66,23_07_2020-01:07:05,83.041,100.726066406,36.573,21,1595466425
22,1063.68,23_07_2020-01:07:06,75.117,100.721011718,36.575,22,1595466426
23,1064.32,23_07_2020-01:07:07,54.794,100.719863281,36.467,23,1595466427
24,1066.88,23_07_2020-01:07:08,43.052,100.71715625,36.429,24,1595466428
25,1065.6,23_07_2020-01:07:09,37.38,100.717484375,36.387,25,1595466429
26,1063.68,23_07_2020-01:07:11,33.772,100.715726562,36.258,26,1595466431
27,1063.68,23_07_2020-01:07:12,33.123,100.715710937,36.175,27,1595466432
28,1065.6,23_07_2020-01:07:13,30.088,100.717167968,36.208,28,1595466433
29,1066.24,23_07_2020-01:07:14,30.984,100.716121093,36.23,29,1595466434
30,1066.24,23_07_2020-01:07:15,31.007,100.716789062,36.218,30,1595466435
31,1066.88,23_07_2020-01:07:16,30.786,100.717898437,36.145,31,1595466436
32,1066.88,23_07_2020-01:07:17,29.429,100.715742187,36.117,32,1595466437
33,1066.88,23_07_2020-01:07:19,30.059,100.715414062,36.044,33,1595466439
34,1066.88,23_07_2020-01:07:20,30.036,100.713800781,36.047,34,1595466440
35,1066.88,23_07_2020-01:07:21,29.263,100.713808593,36.004,35,1595466441
36,1063.04,23_07_2020-01:07:22,30.149,100.714980468,35.986,36,1595466442
37,1065.6,23_07_2020-01:07:23,30.838,100.715070312,35.948,37,1595466443
38,1069.44,23_07_2020-01:07:24,30.625,100.713132812,35.991,38,1595466444
39,1068.8,23_07_2020-01:07:26,31.042,100.713140625,35.979,39,1595466446
40,1069.44,23_07_2020-01:07:27,31.66,100.71353125,35.966,40,1595466447
41,833.28,23_07_2020-01:07:28,30.734,100.711257812,35.948,41,1595466448
42,8.53,23_07_2020-01:07:29,29.637,100.720875,35.986,42,1595466449
43,8.27,23_07_2020-01:07:30,44.622,100.719988281,36.049,43,1595466450
44,8.29,23_07_2020-01:07:31,59.898,100.722320312,35.986,44,1595466451
45,8.57,23_07_2020-01:07:32,69.296,100.721492187,36.029,45,1595466452
46,8.48,23_07_2020-01:07:34,73.139,100.724203125,36.137,46,1595466454
47,8.61,23_07_2020-01:07:35,75.372,100.723144531,36.155,47,1595466455
48,8.17,23_07_2020-01:07:36,77.897,100.72315625,36.203,48,1595466456
49,8.12,23_07_2020-01:07:37,78.228,100.722386718,36.17,49,1595466457
50,8.12,23_07_2020-01:07:38,80.577,100.723,36.283,50,1595466458
51,8.19,23_07_2020-01:07:39,80.422,100.725046875,36.22,51,1595466459
52,8.25,23_07_2020-01:07:40,80.143,100.724371093,36.268,52,1595466460
53,8.41,23_07_2020-01:07:42,81.701,100.725433593,36.291,53,1595466462
54,8.03,23_07_2020-01:07:43,81.379,100.725386718,36.384,54,1595466463
55,8.44,23_07_2020-01:07:44,80.731,100.72515625,36.437,55,1595466464
56,8.1,23_07_2020-01:07:45,80.784,100.726386718,36.424,56,1595466465
57,8.41,23_07_2020-01:07:46,81.149,100.726773437,36.402,57,1595466466
58,8.07,23_07_2020-01:07:47,80.14,100.724675781,36.449,58,1595466467
59,8.42,23_07_2020-01:07:49,81.53,100.724238281,36.412,59,1595466469
60,8.28,23_07_2020-01:07:50,82.24,100.724128906,36.47,60,1595466470
61,8.38,23_07_2020-01:07:51,81.704,100.723628906,36.507,61,1595466471
62,1061.76,23_07_2020-01:07:52,79.057,100.718585937,36.495,62,1595466472
63,1071.36,23_07_2020-01:07:53,57.226,100.717933593,36.452,63,1595466473
64,1073.28,23_07_2020-01:07:54,44.117,100.718277343,36.404,64,1595466474
65,1071.36,23_07_2020-01:07:55,37.237,100.716546875,36.442,65,1595466475
66,1068.8,23_07_2020-01:07:57,33.491,100.718601562,36.439,66,1595466477
67,1071.36,23_07_2020-01:07:58,31.927,100.716117187,36.407,67,1595466478
68,1072.64,23_07_2020-01:07:59,29.991,100.715332031,36.349,68,1595466479
69,1072.0,23_07_2020-01:08:00,31.054,100.716550781,36.341,69,1595466480
70,1072.64,23_07_2020-01:08:01,29.841,100.71490625,36.369,70,1595466481
71,1072.0,23_07_2020-01:08:02,30.062,100.714179687,36.276,71,1595466482
72,1072.64,23_07_2020-01:08:04,31.376,100.71440625,36.243,72,1595466484
73,1072.64,23_07_2020-01:08:05,29.837,100.714960937,36.22,73,1595466485
74,1073.28,23_07_2020-01:08:06,30.625,100.714289062,36.283,74,1595466486
75,1073.28,23_07_2020-01:08:07,29.949,100.712738281,36.165,75,1595466487
76,1073.92,23_07_2020-01:08:08,30.369,100.71440625,36.142,76,1595466488
77,1073.92,23_07_2020-01:08:09,28.979,100.714621093,36.115,77,1595466489
78,1072.0,23_07_2020-01:08:10,29.298,100.711765625,36.102,78,1595466490
79,1071.36,23_07_2020-01:08:12,29.013,100.711871093,36.13,79,1595466492
80,1071.36,23_07_2020-01:08:13,30.256,100.710722656,36.072,80,1595466493
81,1013.12,23_07_2020-01:08:14,29.516,100.710667968,36.105,81,1595466494
82,10.38,23_07_2020-01:08:15,29.573,100.718109375,36.097,82,1595466495
83,8.66,23_07_2020-01:08:16,40.533,100.721882812,36.17,83,1595466496
84,8.99,23_07_2020-01:08:17,54.673,100.721101562,36.152,84,1595466497
85,8.82,23_07_2020-01:08:19,64.776,100.72315625,36.175,85,1595466499
86,8.33,23_07_2020-01:08:20,69.563,100.723441406,36.243,86,1595466500
87,8.24,23_07_2020-01:08:21,73.367,100.723601562,36.281,87,1595466501
88,8.25,23_07_2020-01:08:22,75.297,100.723824218,36.278,88,1595466502
89,8.68,23_07_2020-01:08:23,77.111,100.725308593,36.371,89,1595466503
90,8.71,23_07_2020-01:08:24,78.59,100.727597656,36.439,90,1595466504
91,8.26,23_07_2020-01:08:25,78.961,100.726808593,36.432,91,1595466505
92,8.86,23_07_2020-01:08:27,79.145,100.726308593,36.52,92,1595466507
93,9.02,23_07_2020-01:08:28,79.873,100.725855468,36.543,93,1595466508
94,8.79,23_07_2020-01:08:29,80.064,100.72640625,36.54,94,1595466509
95,8.59,23_07_2020-01:08:30,80.603,100.726910156,36.502,95,1595466510
96,8.91,23_07_2020-01:08:31,81.053,100.728140625,36.59,96,1595466511
97,8.61,23_07_2020-01:08:32,81.393,100.728136718,36.573,97,1595466512
98,8.49,23_07_2020-01:08:33,81.828,100.727703125,36.661,98,1595466513
99,8.76,23_07_2020-01:08:35,80.969,100.727144531,36.734,99,1595466515
