,ambient_light,current_datetime,humidity,pressure,temperature,time_index,timestamp
0,489.92,15_07_2020-04:04:44,47.708,101.004484375,-40.0,0,1594785884
1,494.4,15_07_2020-04:04:45,46.736,101.004230468,27.008,1,1594785885
2,382.08,15_07_2020-04:04:46,48.251,101.005386718,27.131,2,1594785886
3,494.08,15_07_2020-04:04:47,48.219,101.002964843,27.053,3,1594785887
4,494.08,15_07_2020-04:04:49,48.052,101.003679687,26.985,4,1594785889
5,494.08,15_07_2020-04:04:50,48.899,101.005308593,27.079,5,1594785890
6,494.08,15_07_2020-04:04:51,50.579,101.004425781,27.106,6,1594785891
7,494.08,15_07_2020-04:04:52,49.635,101.006816406,27.099,7,1594785892
8,493.76,15_07_2020-04:04:53,48.358,101.005210937,27.152,8,1594785893
9,493.44,15_07_2020-04:04:54,48.57,101.009003906,26.983,9,1594785894
10,493.76,15_07_2020-04:04:56,48.828,101.008566406,27.172,10,1594785896
11,404.48,15_07_2020-04:04:57,48.689,101.009253906,27.25,11,1594785897
12,16.16,15_07_2020-04:04:58,47.439,101.008707031,27.222,12,1594785898
13,7.34,15_07_2020-04:04:59,52.809,101.010957031,27.32,13,1594785899
14,6.67,15_07_2020-04:05:00,63.247,101.010464843,27.222,14,1594785900
15,6.7,15_07_2020-04:05:01,75.102,101.011886718,27.3,15,1594785901
16,6.8,15_07_2020-04:05:02,83.737,101.012394531,27.509,16,1594785902
17,7.06,15_07_2020-04:05:04,90.904,101.013882812,27.426,17,1594785904
18,7.08,15_07_2020-04:05:05,94.21,101.014308593,27.575,18,1594785905
19,7.02,15_07_2020-04:05:06,97.209,101.016097656,27.708,19,1594785906
20,6.98,15_07_2020-04:05:07,99.032,101.015519531,27.726,20,1594785907
21,8.76,15_07_2020-04:05:08,99.397,101.013996093,28.0,21,1594785908
22,494.08,15_07_2020-04:05:09,99.996,101.014890625,28.018,22,1594785909
23,494.4,15_07_2020-04:05:10,98.509,101.013195312,27.829,23,1594785910
24,494.4,15_07_2020-04:05:12,92.233,101.014257812,27.771,24,1594785912
25,494.08,15_07_2020-04:05:13,81.611,101.014140625,27.899,25,1594785913
26,494.08,15_07_2020-04:05:14,71.597,101.012992187,27.942,26,1594785914
27,494.08,15_07_2020-04:05:15,61.299,101.013523437,28.04,27,1594785915
28,494.08,15_07_2020-04:05:16,57.562,101.012878906,27.947,28,1594785916
