,ambient_light,current_datetime,humidity,pressure,temperature,time_index,timestamp
0,2.31,15_07_2020-04:12:39,82.891,100.9990625,35.269,0,1594786359
1,7.03,15_07_2020-04:12:40,82.618,100.998484375,35.402,1,1594786360
2,7.62,15_07_2020-04:12:41,83.285,101.000457031,35.374,2,1594786361
3,7.22,15_07_2020-04:12:42,82.508,100.999878906,35.483,3,1594786362
4,7.12,15_07_2020-04:12:44,83.731,101.000515625,35.455,4,1594786364
5,7.02,15_07_2020-04:12:45,83.842,101.002375,35.503,5,1594786365
6,7.22,15_07_2020-04:12:46,84.881,101.002015625,35.561,6,1594786366
7,7.2,15_07_2020-04:12:47,84.669,101.000792968,35.578,7,1594786367
8,16.81,15_07_2020-04:12:48,85.36,101.003316406,35.646,8,1594786368
9,7.62,15_07_2020-04:12:49,82.46,101.003300781,35.664,9,1594786369
10,7.65,15_07_2020-04:12:50,82.797,101.003003906,35.677,10,1594786370
11,7.82,15_07_2020-04:12:52,82.508,101.004140625,35.709,11,1594786372
12,7.69,15_07_2020-04:12:53,83.386,101.0055625,35.782,12,1594786373
13,7.67,15_07_2020-04:12:54,82.301,101.0048125,35.714,13,1594786374
14,7.54,15_07_2020-04:12:55,82.965,101.002875,35.737,14,1594786375
15,7.5,15_07_2020-04:12:56,83.982,101.001796875,35.82,15,1594786376
16,12.88,15_07_2020-04:12:57,84.689,101.001148437,35.828,16,1594786377
17,490.56,15_07_2020-04:12:59,77.192,100.998230468,35.86,17,1594786379
18,490.56,15_07_2020-04:13:00,59.225,100.997015625,35.823,18,1594786380
19,490.56,15_07_2020-04:13:01,44.322,100.994511718,35.77,19,1594786381
20,490.56,15_07_2020-04:13:02,37.71,100.993773437,35.782,20,1594786382
21,490.56,15_07_2020-04:13:03,33.769,100.990867187,35.724,21,1594786383
22,490.56,15_07_2020-04:13:04,32.369,100.990167968,35.772,22,1594786384
23,490.24,15_07_2020-04:13:05,30.204,100.991433593,35.714,23,1594786385
24,490.56,15_07_2020-04:13:07,29.919,100.991488281,35.646,24,1594786387
25,490.88,15_07_2020-04:13:08,30.122,100.990234375,35.583,25,1594786388
26,490.56,15_07_2020-04:13:09,29.479,100.988960937,35.546,26,1594786389
27,490.56,15_07_2020-04:13:10,30.207,100.990820312,35.583,27,1594786390
28,490.56,15_07_2020-04:13:11,30.572,100.989601562,35.515,28,1594786391
29,490.56,15_07_2020-04:13:12,30.244,100.988957031,35.533,29,1594786392
30,490.56,15_07_2020-04:13:13,31.231,100.989453125,35.566,30,1594786393
31,472.32,15_07_2020-04:13:15,29.493,100.988,35.468,31,1594786395
32,10.4,15_07_2020-04:13:16,29.095,100.991042968,35.4,32,1594786396
33,8.82,15_07_2020-04:13:17,32.38,100.991535156,35.498,33,1594786397
34,9.13,15_07_2020-04:13:18,40.881,100.992320312,35.495,34,1594786398
35,9.48,15_07_2020-04:13:19,49.885,100.994054687,35.568,35,1594786399
36,9.2,15_07_2020-04:13:20,59.341,100.994648437,35.621,36,1594786400
37,9.35,15_07_2020-04:13:22,65.943,100.992414062,35.619,37,1594786402
38,9.46,15_07_2020-04:13:23,69.015,100.993167968,35.631,38,1594786403
39,9.54,15_07_2020-04:13:24,72.084,100.992144531,35.598,39,1594786404
40,8.92,15_07_2020-04:13:25,74.624,100.9925,35.727,40,1594786405
41,8.97,15_07_2020-04:13:26,75.511,100.991253906,35.745,41,1594786406
42,8.83,15_07_2020-04:13:27,75.796,100.9930625,35.777,42,1594786407
43,8.91,15_07_2020-04:13:28,78.056,100.995503906,35.83,43,1594786408
44,8.95,15_07_2020-04:13:30,77.133,100.993488281,35.792,44,1594786410
45,9.03,15_07_2020-04:13:31,76.005,100.99153125,35.865,45,1594786411
46,9.06,15_07_2020-04:13:32,75.054,100.992175781,35.903,46,1594786412
47,9.21,15_07_2020-04:13:33,74.25,100.993464843,35.946,47,1594786413
48,8.88,15_07_2020-04:13:34,75.521,100.994699218,35.953,48,1594786414
49,9.11,15_07_2020-04:13:35,75.868,100.9965625,36.011,49,1594786415
50,8.73,15_07_2020-04:13:37,76.913,100.994964843,36.029,50,1594786417
51,8.75,15_07_2020-04:13:38,77.955,100.995828125,36.092,51,1594786418
52,8.86,15_07_2020-04:13:39,78.79,100.99684375,36.155,52,1594786419
53,9.06,15_07_2020-04:13:40,77.626,100.998367187,36.178,53,1594786420
54,9.06,15_07_2020-04:13:41,76.559,100.998878906,36.155,54,1594786421
55,9.06,15_07_2020-04:13:42,77.809,100.998457031,36.157,55,1594786422
56,9.03,15_07_2020-04:13:43,77.673,101.000570312,36.251,56,1594786423
57,8.91,15_07_2020-04:13:45,76.64,100.999730468,36.283,57,1594786425
58,8.83,15_07_2020-04:13:46,77.566,100.999636718,36.256,58,1594786426
59,18.25,15_07_2020-04:13:47,79.463,101.001148437,36.369,59,1594786427
60,15.6,15_07_2020-04:13:48,73.251,101.001007812,36.351,60,1594786428
61,45.6,15_07_2020-04:13:49,71.577,101.002460937,36.349,61,1594786429
62,490.56,15_07_2020-04:13:50,64.981,100.998003906,36.452,62,1594786430
63,490.88,15_07_2020-04:13:52,49.83,100.996902343,36.359,63,1594786432
64,490.88,15_07_2020-04:13:53,40.792,100.995792968,36.331,64,1594786433
65,490.56,15_07_2020-04:13:54,35.444,100.995421875,36.399,65,1594786434
66,490.24,15_07_2020-04:13:55,32.888,100.996414062,36.286,66,1594786435
67,490.56,15_07_2020-04:13:56,30.192,100.993882812,36.273,67,1594786436
68,490.24,15_07_2020-04:13:57,28.009,100.993535156,36.291,68,1594786437
69,490.24,15_07_2020-04:13:58,29.429,100.992765625,36.188,69,1594786438
70,490.56,15_07_2020-04:14:00,27.02,100.992171875,36.185,70,1594786440
71,490.24,15_07_2020-04:14:01,27.995,100.993554687,36.173,71,1594786441
72,490.24,15_07_2020-04:14:02,29.248,100.994039062,36.145,72,1594786442
73,490.24,15_07_2020-04:14:03,27.995,100.993554687,36.167,73,1594786443
74,490.24,15_07_2020-04:14:04,29.183,100.992941406,36.125,74,1594786444
75,489.92,15_07_2020-04:14:05,28.593,100.994097656,36.087,75,1594786445
76,490.24,15_07_2020-04:14:06,28.762,100.992980468,36.009,76,1594786446
77,100.8,15_07_2020-04:14:08,27.714,100.991925781,36.062,77,1594786448
78,16.48,15_07_2020-04:14:09,29.479,100.993195312,35.928,78,1594786449
79,7.38,15_07_2020-04:14:10,39.692,100.996082031,36.047,79,1594786450
80,11.35,15_07_2020-04:14:11,49.346,100.998214843,36.074,80,1594786451
81,13.0,15_07_2020-04:14:12,56.578,100.998566406,36.092,81,1594786452
82,10.94,15_07_2020-04:14:13,63.192,100.997359375,36.145,82,1594786453
83,11.36,15_07_2020-04:14:15,67.405,100.997261718,36.198,83,1594786455
84,11.92,15_07_2020-04:14:16,71.133,100.997617187,36.185,84,1594786456
85,11.42,15_07_2020-04:14:17,72.373,100.998648437,36.228,85,1594786457
86,11.41,15_07_2020-04:14:18,72.933,101.000539062,36.276,86,1594786458
87,11.48,15_07_2020-04:14:19,73.857,101.001109375,36.288,87,1594786459
88,11.45,15_07_2020-04:14:20,74.877,101.00284375,36.296,88,1594786460
89,11.38,15_07_2020-04:14:21,74.62,101.001042968,36.374,89,1594786461
90,11.35,15_07_2020-04:14:23,74.34,101.000496093,36.402,90,1594786463
91,11.38,15_07_2020-04:14:24,76.023,101.000199218,36.48,91,1594786464
92,444.48,15_07_2020-04:14:25,75.82,100.997773437,36.517,92,1594786465
93,489.92,15_07_2020-04:14:26,56.797,100.997109375,36.545,93,1594786466
94,489.92,15_07_2020-04:14:27,42.263,100.993140625,36.387,94,1594786467
95,490.24,15_07_2020-04:14:28,35.493,100.992207031,36.334,95,1594786468
96,489.92,15_07_2020-04:14:30,31.048,100.994066406,36.371,96,1594786470
97,489.92,15_07_2020-04:14:31,30.259,100.993824218,36.354,97,1594786471
98,489.92,15_07_2020-04:14:32,28.353,100.993894531,36.291,98,1594786472
99,490.24,15_07_2020-04:14:33,28.077,100.992566406,36.334,99,1594786473
