,ambient_light,current_datetime,humidity,pressure,temperature,time_index,timestamp
0,33.66,18_07_2020-01:48:54,82.498,101.062609375,27.406,0,1595036934
1,46.56,18_07_2020-01:48:55,89.83,101.062921875,27.406,1,1595036935
2,31.36,18_07_2020-01:48:56,95.291,101.063546875,27.63,2,1595036936
3,6.16,18_07_2020-01:48:57,96.516,101.065121093,27.768,3,1595036937
4,6.3,18_07_2020-01:48:59,98.858,101.06415625,27.957,4,1595036939
5,6.48,18_07_2020-01:49:00,99.693,101.068796875,28.066,5,1595036940
6,6.56,18_07_2020-01:49:01,99.996,101.06915625,28.154,6,1595036941
7,6.41,18_07_2020-01:49:02,99.998,101.066890625,28.373,7,1595036942
8,5.98,18_07_2020-01:49:03,99.996,101.068011718,28.602,8,1595036943
9,6.25,18_07_2020-01:49:04,99.998,101.071167968,28.715,9,1595036944
10,6.11,18_07_2020-01:49:05,99.996,101.068800781,28.723,10,1595036945
11,5.92,18_07_2020-01:49:07,99.998,101.07065625,28.786,11,1595036947
12,6.15,18_07_2020-01:49:08,99.996,101.072308593,28.954,12,1595036948
13,5.95,18_07_2020-01:49:09,99.998,101.0703125,29.073,13,1595036949
14,6.17,18_07_2020-01:49:10,99.996,101.077996093,29.09,14,1595036950
15,5.97,18_07_2020-01:49:11,99.998,101.075691406,29.234,15,1595036951
16,6.19,18_07_2020-01:49:12,99.996,101.068066406,29.402,16,1595036952
17,5.97,18_07_2020-01:49:13,99.998,101.069332031,29.405,17,1595036953
18,6.16,18_07_2020-01:49:15,99.996,101.072507812,29.463,18,1595036955
19,5.9,18_07_2020-01:49:16,99.998,101.069503906,29.637,19,1595036956
20,6.17,18_07_2020-01:49:17,99.996,101.070441406,29.654,20,1595036957
21,5.94,18_07_2020-01:49:18,99.998,101.066921875,29.757,21,1595036958
22,792.96,18_07_2020-01:49:20,99.996,101.068128906,29.835,22,1595036960
23,791.68,18_07_2020-01:49:21,99.998,101.067617187,29.783,23,1595036961
24,788.48,18_07_2020-01:49:23,99.996,101.067847656,29.0,24,1595036963
25,785.92,18_07_2020-01:49:24,96.083,101.066980468,28.982,25,1595036964
26,783.36,18_07_2020-01:49:25,84.216,101.066160156,28.995,26,1595036965
27,782.72,18_07_2020-01:49:26,74.177,101.066082031,29.269,27,1595036966
28,780.8,18_07_2020-01:49:27,66.464,101.064410156,29.307,28,1595036967
29,778.24,18_07_2020-01:49:28,58.128,101.065015625,29.299,29,1595036968
