,ambient_light,current_datetime,humidity,pressure,temperature,time_index,timestamp
0,0.98,24_07_2020-00:13:27,80.453,100.85453125,34.805,0,1595549607
1,7.17,24_07_2020-00:13:28,81.669,100.85325,34.899,1,1595549608
2,6.42,24_07_2020-00:13:29,80.612,100.855074218,34.906,2,1595549609
3,5.92,24_07_2020-00:13:30,80.659,100.852757812,34.959,3,1595549610
4,6.52,24_07_2020-00:13:31,80.05,100.853105468,34.911,4,1595549611
5,6.37,24_07_2020-00:13:33,80.113,100.853023437,35.009,5,1595549613
6,6.07,24_07_2020-00:13:34,79.888,100.854570312,35.002,6,1595549614
7,6.45,24_07_2020-00:13:35,81.251,100.855121093,35.035,7,1595549615
8,6.58,24_07_2020-00:13:36,80.386,100.854324218,34.977,8,1595549616
9,6.63,24_07_2020-00:13:37,80.091,100.855261718,35.06,9,1595549617
10,6.45,24_07_2020-00:13:38,80.575,100.852917968,35.148,10,1595549618
11,6.62,24_07_2020-00:13:40,81.373,100.847847656,35.105,11,1595549620
12,6.45,24_07_2020-00:13:41,81.411,100.850585937,35.213,12,1595549621
13,6.72,24_07_2020-00:13:42,81.41,100.849945312,35.181,13,1595549622
14,7.18,24_07_2020-00:13:43,78.07,100.850925781,35.264,14,1595549623
15,7.46,24_07_2020-00:13:44,71.76,100.850453125,35.276,15,1595549624
16,7.7,24_07_2020-00:13:45,71.179,100.850167968,35.284,16,1595549625
17,7.5,24_07_2020-00:13:46,70.054,100.848925781,35.296,17,1595549626
18,8.45,24_07_2020-00:13:48,69.799,100.851664062,35.354,18,1595549628
19,7.94,24_07_2020-00:13:49,66.688,100.850535156,35.286,19,1595549629
20,7.4,24_07_2020-00:13:50,65.982,100.8514375,35.299,20,1595549630
21,12.34,24_07_2020-00:13:51,65.855,100.850078125,35.417,21,1595549631
22,613.44,24_07_2020-00:13:52,59.304,100.843824218,35.39,22,1595549632
23,614.4,24_07_2020-00:13:53,47.615,100.843621093,35.286,23,1595549633
24,614.72,24_07_2020-00:13:55,40.463,100.843800781,35.314,24,1595549635
25,614.72,24_07_2020-00:13:56,35.624,100.84128125,35.342,25,1595549636
26,615.04,24_07_2020-00:13:57,34.06,100.842589843,35.254,26,1595549637
27,615.36,24_07_2020-00:13:58,32.359,100.839835937,35.196,27,1595549638
28,615.36,24_07_2020-00:13:59,31.1,100.839515625,35.203,28,1595549639
29,615.68,24_07_2020-00:14:00,29.078,100.83790625,35.135,29,1595549640
30,616.0,24_07_2020-00:14:01,30.703,100.838855468,35.128,30,1595549641
31,616.0,24_07_2020-00:14:03,29.893,100.8381875,35.115,31,1595549643
32,616.32,24_07_2020-00:14:04,30.462,100.838265625,35.133,32,1595549644
33,616.64,24_07_2020-00:14:05,30.693,100.838402343,35.065,33,1595549645
34,616.96,24_07_2020-00:14:06,30.007,100.837320312,34.987,34,1595549646
35,617.28,24_07_2020-00:14:07,30.195,100.836824218,34.954,35,1595549647
36,617.28,24_07_2020-00:14:08,31.585,100.838808593,34.967,36,1595549648
37,617.28,24_07_2020-00:14:09,31.504,100.837652343,34.939,37,1595549649
38,617.6,24_07_2020-00:14:11,31.716,100.839285156,34.851,38,1595549651
39,617.92,24_07_2020-00:14:12,29.563,100.83690625,34.798,39,1595549652
40,617.6,24_07_2020-00:14:13,30.941,100.838214843,34.856,40,1595549653
41,420.8,24_07_2020-00:14:14,30.873,100.837898437,34.823,41,1595549654
42,7.15,24_07_2020-00:14:15,29.107,100.846511718,34.831,42,1595549655
43,6.74,24_07_2020-00:14:16,40.299,100.844773437,34.848,43,1595549656
44,6.67,24_07_2020-00:14:18,48.706,100.847441406,34.851,44,1595549658
45,7.19,24_07_2020-00:14:19,52.87,100.846851562,34.929,45,1595549659
46,7.32,24_07_2020-00:14:20,57.0,100.846398437,34.967,46,1595549660
47,7.41,24_07_2020-00:14:21,59.004,100.846746093,35.024,47,1595549661
48,7.26,24_07_2020-00:14:22,60.531,100.846921875,34.951,48,1595549662
49,7.71,24_07_2020-00:14:23,60.945,100.848988281,34.999,49,1595549663
50,7.08,24_07_2020-00:14:24,62.38,100.848007812,35.138,50,1595549664
51,7.74,24_07_2020-00:14:26,62.504,100.849722656,35.13,51,1595549666
52,6.98,24_07_2020-00:14:27,63.177,100.851035156,35.198,52,1595549667
53,7.75,24_07_2020-00:14:28,63.343,100.849617187,35.155,53,1595549668
54,7.35,24_07_2020-00:14:29,63.87,100.849308593,35.274,54,1595549669
55,7.44,24_07_2020-00:14:30,65.443,100.85075,35.286,55,1595549670
56,7.19,24_07_2020-00:14:31,65.576,100.851824218,35.233,56,1595549671
57,7.22,24_07_2020-00:14:33,66.081,100.852273437,35.276,57,1595549673
58,7.24,24_07_2020-00:14:34,65.634,100.84953125,35.294,58,1595549674
59,7.07,24_07_2020-00:14:35,66.09,100.851042968,35.362,59,1595549675
60,7.32,24_07_2020-00:14:36,65.744,100.850449218,35.339,60,1595549676
61,7.43,24_07_2020-00:14:37,66.462,100.849855468,35.372,61,1595549677
62,618.88,24_07_2020-00:14:38,62.841,100.845636718,35.47,62,1595549678
63,619.84,24_07_2020-00:14:39,48.832,100.843503906,35.317,63,1595549679
64,620.16,24_07_2020-00:14:41,39.746,100.841125,35.264,64,1595549681
65,620.16,24_07_2020-00:14:42,36.759,100.840074218,35.387,65,1595549682
66,620.48,24_07_2020-00:14:43,34.536,100.840851562,35.349,66,1595549683
67,620.8,24_07_2020-00:14:44,33.201,100.839636718,35.352,67,1595549684
68,620.48,24_07_2020-00:14:45,32.171,100.838679687,35.349,68,1595549685
69,620.8,24_07_2020-00:14:46,30.305,100.839570312,35.367,69,1595549686
70,620.8,24_07_2020-00:14:47,30.38,100.839949218,35.364,70,1595549687
71,621.12,24_07_2020-00:14:49,32.206,100.840230468,35.291,71,1595549689
72,621.44,24_07_2020-00:14:50,31.259,100.839519531,35.269,72,1595549690
73,621.44,24_07_2020-00:14:51,30.79,100.84184375,35.256,73,1595549691
74,621.44,24_07_2020-00:14:52,29.385,100.839734375,35.249,74,1595549692
75,621.76,24_07_2020-00:14:53,29.731,100.839773437,35.201,75,1595549693
76,622.4,24_07_2020-00:14:54,29.827,100.839058593,35.218,76,1595549694
77,622.4,24_07_2020-00:14:56,29.814,100.837027343,35.206,77,1595549696
78,622.4,24_07_2020-00:14:57,30.566,100.838011718,35.082,78,1595549697
79,623.04,24_07_2020-00:14:58,31.242,100.839710937,35.055,79,1595549698
80,622.72,24_07_2020-00:14:59,30.862,100.837230468,35.022,80,1595549699
81,530.56,24_07_2020-00:15:00,28.501,100.84053125,34.999,81,1595549700
82,6.21,24_07_2020-00:15:01,30.813,100.844207031,34.951,82,1595549701
83,5.73,24_07_2020-00:15:02,36.231,100.844605468,34.994,83,1595549702
84,6.12,24_07_2020-00:15:04,41.5,100.8454375,35.037,84,1595549704
85,6.17,24_07_2020-00:15:05,47.035,100.845621093,35.035,85,1595549705
86,6.09,24_07_2020-00:15:06,49.591,100.844675781,35.062,86,1595549706
87,6.59,24_07_2020-00:15:07,51.539,100.846636718,35.191,87,1595549707
88,6.5,24_07_2020-00:15:08,52.462,100.84725,35.254,88,1595549708
89,6.8,24_07_2020-00:15:09,52.485,100.847101562,35.241,89,1595549709
90,6.81,24_07_2020-00:15:11,53.305,100.846011718,35.294,90,1595549711
91,6.28,24_07_2020-00:15:12,54.396,100.84640625,35.362,91,1595549712
92,6.62,24_07_2020-00:15:13,56.387,100.847367187,35.44,92,1595549713
93,6.48,24_07_2020-00:15:14,55.021,100.848867187,35.457,93,1595549714
94,6.68,24_07_2020-00:15:15,55.596,100.84834375,35.47,94,1595549715
95,6.68,24_07_2020-00:15:16,56.056,100.849632812,35.513,95,1595549716
96,6.75,24_07_2020-00:15:17,56.225,100.847308593,35.5,96,1595549717
97,6.56,24_07_2020-00:15:19,57.31,100.848433593,35.563,97,1595549719
98,6.88,24_07_2020-00:15:20,57.308,100.851511718,35.651,98,1595549720
99,6.9,24_07_2020-00:15:21,56.568,100.849589843,35.629,99,1595549721
