,ambient_light,current_datetime,humidity,pressure,temperature,time_index,timestamp
0,0.87,25_07_2020-03:16:30,99.998,100.938289062,32.25,0,1595646990
1,6.66,25_07_2020-03:16:31,99.996,100.939085937,32.353,1,1595646991
2,6.62,25_07_2020-03:16:33,99.998,100.939140625,32.366,2,1595646993
3,6.55,25_07_2020-03:16:34,99.996,100.939789062,32.414,3,1595646994
4,6.5,25_07_2020-03:16:35,99.998,100.936578125,32.492,4,1595646995
5,6.54,25_07_2020-03:16:36,99.996,100.936714843,32.509,5,1595646996
6,6.54,25_07_2020-03:16:37,99.998,100.938355468,32.643,6,1595646997
7,6.59,25_07_2020-03:16:38,99.996,100.938652343,32.625,7,1595646998
8,6.59,25_07_2020-03:16:39,99.998,100.937386718,32.592,8,1595646999
9,6.6,25_07_2020-03:16:41,99.996,100.939296875,32.746,9,1595647001
10,6.6,25_07_2020-03:16:42,99.998,100.940417968,32.784,10,1595647002
11,6.65,25_07_2020-03:16:43,99.996,100.938847656,32.806,11,1595647003
12,6.62,25_07_2020-03:16:44,99.998,100.938488281,32.824,12,1595647004
13,6.59,25_07_2020-03:16:45,99.996,100.938316406,32.892,13,1595647005
14,6.51,25_07_2020-03:16:46,99.998,100.9380625,32.925,14,1595647006
15,6.48,25_07_2020-03:16:48,99.996,100.939039062,32.973,15,1595647008
16,6.16,25_07_2020-03:16:49,99.998,100.940453125,32.985,16,1595647009
17,6.25,25_07_2020-03:16:50,99.996,100.938574218,33.043,17,1595647010
18,6.52,25_07_2020-03:16:51,99.998,100.938976562,33.091,18,1595647011
19,6.71,25_07_2020-03:16:52,99.996,100.9369375,33.098,19,1595647012
20,6.41,25_07_2020-03:16:53,99.998,100.936734375,33.166,20,1595647013
21,470.4,25_07_2020-03:16:55,99.996,100.933242187,33.184,21,1595647015
22,471.36,25_07_2020-03:16:57,80.21,100.931710937,33.181,22,1595647017
23,471.04,25_07_2020-03:16:58,61.996,100.932582031,32.686,23,1595647018
24,471.36,25_07_2020-03:16:59,49.595,100.931878906,32.753,24,1595647019
25,471.36,25_07_2020-03:17:00,42.504,100.930347656,32.811,25,1595647020
26,471.36,25_07_2020-03:17:01,38.825,100.92946875,32.764,26,1595647021
27,471.04,25_07_2020-03:17:02,35.614,100.926734375,32.736,27,1595647022
28,471.04,25_07_2020-03:17:04,33.75,100.927472656,32.748,28,1595647024
29,471.36,25_07_2020-03:17:05,33.685,100.926484375,32.696,29,1595647025
30,471.04,25_07_2020-03:17:06,33.158,100.925496093,32.708,30,1595647026
31,471.04,25_07_2020-03:17:07,32.028,100.923960937,32.67,31,1595647027
32,471.04,25_07_2020-03:17:08,31.813,100.923246093,32.683,32,1595647028
33,471.36,25_07_2020-03:17:09,32.241,100.924460937,32.615,33,1595647029
34,470.72,25_07_2020-03:17:10,32.542,100.921605468,32.618,34,1595647030
35,471.04,25_07_2020-03:17:12,31.616,100.921523437,32.575,35,1595647032
36,471.04,25_07_2020-03:17:13,31.736,100.923117187,32.628,36,1595647033
37,471.04,25_07_2020-03:17:14,32.351,100.921855468,32.514,37,1595647034
38,471.04,25_07_2020-03:17:15,31.77,100.91971875,32.542,38,1595647035
39,470.72,25_07_2020-03:17:16,31.912,100.921058593,32.555,39,1595647036
40,470.72,25_07_2020-03:17:17,32.255,100.920675781,32.507,40,1595647037
41,365.44,25_07_2020-03:17:19,31.701,100.919886718,32.58,41,1595647039
42,6.2,25_07_2020-03:17:20,32.289,100.927894531,32.477,42,1595647040
43,6.68,25_07_2020-03:17:21,49.407,100.928703125,32.565,43,1595647041
44,6.66,25_07_2020-03:17:22,68.067,100.931960937,32.703,44,1595647042
45,6.76,25_07_2020-03:17:23,79.833,100.931152343,32.665,45,1595647043
46,6.58,25_07_2020-03:17:24,87.171,100.931085937,32.718,46,1595647044
47,6.71,25_07_2020-03:17:25,91.311,100.930859375,32.832,47,1595647045
48,6.12,25_07_2020-03:17:27,94.526,100.933203125,32.859,48,1595647047
49,6.43,25_07_2020-03:17:28,96.127,100.931933593,32.917,49,1595647048
50,6.51,25_07_2020-03:17:29,97.883,100.93246875,33.106,50,1595647049
51,6.37,25_07_2020-03:17:30,98.391,100.930847656,33.103,51,1595647050
52,6.41,25_07_2020-03:17:31,98.204,100.930414062,33.151,52,1595647051
53,6.38,25_07_2020-03:17:32,99.285,100.932425781,33.265,53,1595647052
54,6.66,25_07_2020-03:17:33,99.565,100.933410156,33.302,54,1595647053
55,6.88,25_07_2020-03:17:35,99.99,100.934378906,33.35,55,1595647055
56,6.84,25_07_2020-03:17:36,99.913,100.934261718,33.368,56,1595647056
57,6.47,25_07_2020-03:17:37,99.969,100.929933593,33.466,57,1595647057
58,6.44,25_07_2020-03:17:38,99.998,100.932773437,33.549,58,1595647058
59,6.03,25_07_2020-03:17:39,99.612,100.933058593,33.567,59,1595647059
60,6.7,25_07_2020-03:17:40,99.998,100.935429687,33.615,60,1595647060
61,6.25,25_07_2020-03:17:42,99.996,100.931414062,33.723,61,1595647062
62,470.4,25_07_2020-03:17:43,97.428,100.928410156,33.64,62,1595647063
63,471.04,25_07_2020-03:17:44,73.916,100.926632812,33.552,63,1595647064
64,470.72,25_07_2020-03:17:45,56.944,100.924601562,33.479,64,1595647065
65,470.72,25_07_2020-03:17:46,45.358,100.921703125,33.401,65,1595647066
66,470.72,25_07_2020-03:17:47,39.558,100.922035156,33.348,66,1595647067
67,470.4,25_07_2020-03:17:48,35.809,100.922632812,33.285,67,1595647068
68,470.72,25_07_2020-03:17:50,33.769,100.920804687,33.312,68,1595647070
69,470.4,25_07_2020-03:17:51,32.095,100.921210937,33.234,69,1595647071
70,470.72,25_07_2020-03:17:52,32.667,100.9195625,33.146,70,1595647072
71,470.4,25_07_2020-03:17:53,31.652,100.9189375,33.174,71,1595647073
72,470.4,25_07_2020-03:17:54,30.613,100.922746093,33.086,72,1595647074
73,470.72,25_07_2020-03:17:55,30.581,100.918058593,33.043,73,1595647075
