,ambient_light,current_datetime,humidity,pressure,temperature,time_index,timestamp
0,1.81,28_07_2020-00:13:48,83.815,100.85321875,36.837,0,1595895228
1,7.32,28_07_2020-00:13:50,82.922,100.853535156,36.875,1,1595895230
2,7.39,28_07_2020-00:13:51,83.457,100.854542968,36.898,2,1595895231
3,8.31,28_07_2020-00:13:52,83.432,100.854660156,36.905,3,1595895232
4,15.4,28_07_2020-00:13:53,82.792,100.853769531,36.918,4,1595895233
5,10.92,28_07_2020-00:13:54,79.098,100.855058593,36.9,5,1595895234
6,11.4,28_07_2020-00:13:55,81.211,100.854285156,36.938,6,1595895235
7,10.57,28_07_2020-00:13:57,82.977,100.857042968,36.996,7,1595895237
8,10.78,28_07_2020-00:13:58,84.184,100.856992187,36.983,8,1595895238
9,10.37,28_07_2020-00:13:59,83.752,100.858089843,36.996,9,1595895239
10,9.96,28_07_2020-00:14:00,83.558,100.858488281,36.938,10,1595895240
11,10.41,28_07_2020-00:14:01,83.972,100.855621093,37.026,11,1595895241
12,9.81,28_07_2020-00:14:02,83.927,100.856507812,37.003,12,1595895242
13,10.25,28_07_2020-00:14:03,83.746,100.854078125,37.081,13,1595895243
14,10.08,28_07_2020-00:14:05,84.266,100.855339843,37.079,14,1595895245
15,9.98,28_07_2020-00:14:06,84.371,100.856234375,37.071,15,1595895246
16,10.02,28_07_2020-00:14:07,83.872,100.855664062,37.079,16,1595895247
17,9.74,28_07_2020-00:14:08,83.926,100.852730468,37.102,17,1595895248
18,9.41,28_07_2020-00:14:09,84.648,100.856507812,37.089,18,1595895249
19,9.77,28_07_2020-00:14:10,83.697,100.856566406,37.162,19,1595895250
20,9.55,28_07_2020-00:14:11,84.022,100.857601562,37.18,20,1595895251
21,68.24,28_07_2020-00:14:13,83.538,100.856769531,37.187,21,1595895253
22,1146.24,28_07_2020-00:14:14,75.239,100.852632812,37.159,22,1595895254
23,1147.52,28_07_2020-00:14:15,56.103,100.8489375,37.222,23,1595895255
24,1146.88,28_07_2020-00:14:16,44.142,100.846660156,37.164,24,1595895256
25,1147.52,28_07_2020-00:14:17,37.103,100.8455,37.157,25,1595895257
26,1147.52,28_07_2020-00:14:18,33.158,100.8424375,37.124,26,1595895258
27,981.12,28_07_2020-00:14:20,31.484,100.845230468,37.177,27,1595895260
28,873.6,28_07_2020-00:14:21,30.97,100.845820312,37.134,28,1595895261
29,1153.28,28_07_2020-00:14:22,32.321,100.844597656,37.117,29,1595895262
30,1170.56,28_07_2020-00:14:23,31.306,100.843546875,37.149,30,1595895263
31,1171.2,28_07_2020-00:14:24,29.501,100.843917968,37.102,31,1595895264
32,1171.84,28_07_2020-00:14:25,30.519,100.844652343,37.134,32,1595895265
33,1171.84,28_07_2020-00:14:26,28.735,100.843609375,37.021,33,1595895266
34,1172.48,28_07_2020-00:14:28,29.783,100.843546875,37.003,34,1595895268
35,1173.12,28_07_2020-00:14:29,27.752,100.842894531,36.966,35,1595895269
36,1173.76,28_07_2020-00:14:30,27.687,100.840792968,36.953,36,1595895270
37,1173.76,28_07_2020-00:14:31,29.537,100.839855468,36.961,37,1595895271
38,1173.76,28_07_2020-00:14:32,27.491,100.838132812,36.893,38,1595895272
39,1173.12,28_07_2020-00:14:33,28.927,100.839460937,36.966,39,1595895273
40,686.08,28_07_2020-00:14:35,29.463,100.839675781,36.933,40,1595895275
41,81.44,28_07_2020-00:14:36,28.189,100.842785156,36.88,41,1595895276
42,7.53,28_07_2020-00:14:37,31.831,100.84659375,36.883,42,1595895277
43,7.71,28_07_2020-00:14:38,49.652,100.84859375,36.94,43,1595895278
44,7.1,28_07_2020-00:14:39,59.764,100.849746093,36.968,44,1595895279
45,7.51,28_07_2020-00:14:40,67.514,100.850691406,36.981,45,1595895280
46,7.28,28_07_2020-00:14:41,69.468,100.851964843,36.993,46,1595895281
47,7.56,28_07_2020-00:14:43,71.865,100.852511718,36.961,47,1595895283
48,7.75,28_07_2020-00:14:44,73.567,100.850460937,36.968,48,1595895284
49,7.44,28_07_2020-00:14:45,73.474,100.852679687,36.996,49,1595895285
50,7.28,28_07_2020-00:14:46,75.267,100.851132812,36.978,50,1595895286
51,7.63,28_07_2020-00:14:47,76.461,100.852128906,37.066,51,1595895287
52,7.61,28_07_2020-00:14:48,76.741,100.853617187,37.044,52,1595895288
53,7.82,28_07_2020-00:14:50,76.19,100.8539375,36.986,53,1595895290
54,8.2,28_07_2020-00:14:51,76.152,100.854769531,37.064,54,1595895291
55,8.39,28_07_2020-00:14:52,73.76,100.854394531,37.056,55,1595895292
56,8.19,28_07_2020-00:14:53,73.292,100.855382812,37.094,56,1595895293
57,8.1,28_07_2020-00:14:54,70.635,100.85140625,37.056,57,1595895294
58,8.28,28_07_2020-00:14:55,70.848,100.850726562,37.049,58,1595895295
59,8.36,28_07_2020-00:14:56,71.258,100.851570312,37.097,59,1595895296
60,8.34,28_07_2020-00:14:58,72.566,100.853398437,37.094,60,1595895298
61,39.28,28_07_2020-00:14:59,76.446,100.852839843,37.081,61,1595895299
62,1161.6,28_07_2020-00:15:00,68.339,100.847992187,37.084,62,1595895300
63,1162.24,28_07_2020-00:15:01,49.508,100.845898437,36.956,63,1595895301
64,1162.88,28_07_2020-00:15:02,40.141,100.845,36.933,64,1595895302
65,1162.88,28_07_2020-00:15:03,35.989,100.844453125,36.93,65,1595895303
66,1162.88,28_07_2020-00:15:04,31.941,100.841644531,36.903,66,1595895304
67,1162.88,28_07_2020-00:15:06,31.228,100.839878906,36.875,67,1595895306
68,1162.88,28_07_2020-00:15:07,29.487,100.839746093,36.832,68,1595895307
69,1163.52,28_07_2020-00:15:08,28.64,100.839488281,36.804,69,1595895308
70,1164.16,28_07_2020-00:15:09,28.184,100.838382812,36.797,70,1595895309
71,1163.52,28_07_2020-00:15:10,27.996,100.840109375,36.689,71,1595895310
72,1164.16,28_07_2020-00:15:11,28.376,100.840050781,36.792,72,1595895311
73,1164.16,28_07_2020-00:15:13,27.926,100.839601562,36.754,73,1595895313
74,1164.16,28_07_2020-00:15:14,26.899,100.839933593,36.787,74,1595895314
75,1164.8,28_07_2020-00:15:15,28.085,100.841316406,36.638,75,1595895315
76,1164.8,28_07_2020-00:15:16,28.413,100.841765625,36.752,76,1595895316
77,1164.8,28_07_2020-00:15:17,26.589,100.840867187,36.648,77,1595895317
78,1165.44,28_07_2020-00:15:18,27.708,100.8414375,36.666,78,1595895318
79,1166.08,28_07_2020-00:15:19,27.651,100.840046875,36.709,79,1595895319
80,1166.08,28_07_2020-00:15:21,26.683,100.839605468,36.626,80,1595895321
81,323.2,28_07_2020-00:15:22,27.975,100.839613281,36.658,81,1595895322
82,9.3,28_07_2020-00:15:23,30.232,100.844910156,36.59,82,1595895323
83,11.76,28_07_2020-00:15:24,46.914,100.847242187,36.573,83,1595895324
84,8.3,28_07_2020-00:15:25,61.183,100.847070312,36.641,84,1595895325
85,8.95,28_07_2020-00:15:26,69.049,100.845910156,36.583,85,1595895326
86,9.58,28_07_2020-00:15:28,74.83,100.847085937,36.565,86,1595895328
87,9.87,28_07_2020-00:15:29,75.445,100.849191406,36.653,87,1595895329
88,9.62,28_07_2020-00:15:30,78.205,100.850457031,36.59,88,1595895330
89,9.53,28_07_2020-00:15:31,78.677,100.85140625,36.689,89,1595895331
90,9.51,28_07_2020-00:15:32,79.008,100.848253906,36.681,90,1595895332
91,9.28,28_07_2020-00:15:33,79.559,100.851566406,36.759,91,1595895333
92,9.46,28_07_2020-00:15:34,80.195,100.850511718,36.767,92,1595895334
93,9.48,28_07_2020-00:15:36,80.618,100.852226562,36.724,93,1595895336
94,9.46,28_07_2020-00:15:37,80.198,100.850914062,36.812,94,1595895337
95,9.55,28_07_2020-00:15:38,79.479,100.852027343,36.83,95,1595895338
96,9.51,28_07_2020-00:15:39,81.26,100.855398437,36.883,96,1595895339
97,9.2,28_07_2020-00:15:40,80.117,100.854414062,36.87,97,1595895340
98,9.45,28_07_2020-00:15:41,79.823,100.85196875,36.898,98,1595895341
99,9.54,28_07_2020-00:15:42,80.847,100.853082031,36.87,99,1595895342
