,ambient_light,current_datetime,humidity,pressure,temperature,time_index,timestamp
0,1.48,23_07_2020-00:45:14,88.037,100.717414062,32.545,0,1595465114
1,7.63,23_07_2020-00:45:15,88.389,100.718027343,32.633,1,1595465115
2,6.91,23_07_2020-00:45:17,88.107,100.717167968,32.766,2,1595465117
3,6.91,23_07_2020-00:45:19,76.988,100.717109375,32.799,3,1595465119
4,7.27,23_07_2020-00:45:20,81.423,100.718761718,32.811,4,1595465120
5,7.16,23_07_2020-00:45:21,85.319,100.718167968,32.905,5,1595465121
6,7.32,23_07_2020-00:45:22,87.847,100.717714843,32.942,6,1595465122
7,7.15,23_07_2020-00:45:23,89.591,100.718972656,33.076,7,1595465123
8,7.29,23_07_2020-00:45:24,89.819,100.72,33.058,8,1595465124
9,7.3,23_07_2020-00:45:25,91.337,100.717703125,33.076,9,1595465125
10,7.42,23_07_2020-00:45:27,91.064,100.720394531,33.129,10,1595465127
11,7.25,23_07_2020-00:45:28,92.378,100.719339843,33.247,11,1595465128
12,7.46,23_07_2020-00:45:29,92.639,100.720429687,33.28,12,1595465129
13,7.54,23_07_2020-00:45:30,92.35,100.721476562,33.363,13,1595465130
14,7.16,23_07_2020-00:45:31,92.742,100.720527343,33.335,14,1595465131
15,7.33,23_07_2020-00:45:32,92.573,100.720445312,33.388,15,1595465132
16,7.15,23_07_2020-00:45:33,92.269,100.722257812,33.446,16,1595465133
17,7.33,23_07_2020-00:45:35,91.682,100.720980468,33.469,17,1595465135
18,7.09,23_07_2020-00:45:36,92.901,100.721386718,33.521,18,1595465136
19,7.63,23_07_2020-00:45:37,92.356,100.722410156,33.61,19,1595465137
20,7.46,23_07_2020-00:45:38,92.196,100.721667968,33.607,20,1595465138
21,7.7,23_07_2020-00:45:39,92.28,100.722714843,33.655,21,1595465139
22,1037.44,23_07_2020-00:45:40,90.466,100.71615625,33.627,22,1595465140
23,1054.08,23_07_2020-00:45:42,69.468,100.713445312,33.579,23,1595465142
24,1053.44,23_07_2020-00:45:43,56.036,100.712535156,33.496,24,1595465143
25,1053.44,23_07_2020-00:45:44,47.142,100.711875,33.479,25,1595465144
26,1053.44,23_07_2020-00:45:45,42.083,100.709753906,33.461,26,1595465145
27,1052.8,23_07_2020-00:45:46,40.208,100.709355468,33.479,27,1595465146
28,1052.8,23_07_2020-00:45:47,38.064,100.710667968,33.456,28,1595465147
29,1052.16,23_07_2020-00:45:48,37.01,100.710472656,33.438,29,1595465148
30,1052.16,23_07_2020-00:45:50,37.548,100.707855468,33.411,30,1595465150
31,1052.16,23_07_2020-00:45:51,35.719,100.709519531,33.408,31,1595465151
32,1052.8,23_07_2020-00:45:52,35.226,100.707046875,33.411,32,1595465152
33,1052.8,23_07_2020-00:45:53,34.904,100.706113281,33.297,33,1595465153
34,1050.88,23_07_2020-00:45:54,35.891,100.706683593,33.275,34,1595465154
35,1048.96,23_07_2020-00:45:55,35.612,100.708566406,33.277,35,1595465155
36,1048.32,23_07_2020-00:45:57,35.494,100.708078125,33.194,36,1595465157
37,1048.96,23_07_2020-00:45:58,35.942,100.70734375,33.232,37,1595465158
38,1047.68,23_07_2020-00:45:59,35.241,100.706757812,33.255,38,1595465159
39,1047.68,23_07_2020-00:46:00,35.435,100.707925781,33.192,39,1595465160
40,1047.68,23_07_2020-00:46:01,35.9,100.709375,33.184,40,1595465161
41,976.0,23_07_2020-00:46:02,35.325,100.708476562,33.217,41,1595465162
42,12.16,23_07_2020-00:46:03,35.391,100.712960937,33.159,42,1595465163
43,9.93,23_07_2020-00:46:05,45.005,100.713457031,33.297,43,1595465165
44,9.92,23_07_2020-00:46:06,60.064,100.716152343,33.265,44,1595465166
45,9.84,23_07_2020-00:46:07,69.789,100.716292968,33.307,45,1595465167
46,9.44,23_07_2020-00:46:08,76.461,100.716695312,33.401,46,1595465168
47,9.31,23_07_2020-00:46:09,79.594,100.719109375,33.393,47,1595465169
48,7.73,23_07_2020-00:46:10,82.537,100.720410156,33.567,48,1595465170
49,7.51,23_07_2020-00:46:12,84.4,100.723535156,33.564,49,1595465172
50,7.72,23_07_2020-00:46:13,85.885,100.721710937,33.733,50,1595465173
51,7.71,23_07_2020-00:46:14,87.031,100.719933593,33.73,51,1595465174
52,7.47,23_07_2020-00:46:15,87.85,100.719164062,33.748,52,1595465175
53,7.77,23_07_2020-00:46:16,88.005,100.719085937,33.861,53,1595465176
54,7.68,23_07_2020-00:46:17,88.088,100.721558593,33.844,54,1595465177
55,8.1,23_07_2020-00:46:18,87.098,100.720453125,33.922,55,1595465178
56,8.15,23_07_2020-00:46:20,87.86,100.721441406,33.985,56,1595465180
57,8.18,23_07_2020-00:46:21,87.846,100.722207031,34.002,57,1595465181
58,8.22,23_07_2020-00:46:22,88.339,100.720703125,34.015,58,1595465182
59,8.1,23_07_2020-00:46:23,88.255,100.719710937,34.128,59,1595465183
60,8.17,23_07_2020-00:46:24,88.217,100.720074218,34.09,60,1595465184
61,7.94,23_07_2020-00:46:25,88.069,100.718023437,34.168,61,1595465185
62,1005.12,23_07_2020-00:46:26,86.01,100.716210937,34.262,62,1595465186
63,1046.4,23_07_2020-00:46:28,66.889,100.714804687,34.133,63,1595465188
64,1046.4,23_07_2020-00:46:29,53.894,100.711640625,34.045,64,1595465189
65,1045.76,23_07_2020-00:46:30,44.786,100.711925781,33.977,65,1595465190
66,1045.12,23_07_2020-00:46:31,41.754,100.710570312,33.964,66,1595465191
67,1045.12,23_07_2020-00:46:32,38.575,100.710203125,33.927,67,1595465192
68,1045.12,23_07_2020-00:46:33,36.624,100.711636718,33.859,68,1595465193
69,1045.12,23_07_2020-00:46:35,36.039,100.710390625,33.851,69,1595465195
70,1045.12,23_07_2020-00:46:36,35.815,100.710789062,33.894,70,1595465196
71,1043.2,23_07_2020-00:46:37,36.668,100.710628906,33.766,71,1595465197
72,1043.2,23_07_2020-00:46:38,33.941,100.708371093,33.773,72,1595465198
73,1043.84,23_07_2020-00:46:39,35.282,100.70778125,33.73,73,1595465199
74,1043.84,23_07_2020-00:46:40,34.466,100.709394531,33.793,74,1595465200
75,1043.2,23_07_2020-00:46:41,35.337,100.709597656,33.635,75,1595465201
76,1043.2,23_07_2020-00:46:43,34.957,100.707472656,33.567,76,1595465203
77,1043.2,23_07_2020-00:46:44,36.625,100.709007812,33.539,77,1595465204
78,1043.2,23_07_2020-00:46:45,34.909,100.708914062,33.592,78,1595465205
79,1043.84,23_07_2020-00:46:46,34.825,100.707597656,33.63,79,1595465206
80,1043.2,23_07_2020-00:46:47,34.295,100.707761718,33.521,80,1595465207
81,608.0,23_07_2020-00:46:48,34.022,100.708132812,33.514,81,1595465208
82,7.93,23_07_2020-00:46:50,36.3,100.714789062,33.557,82,1595465210
83,7.06,23_07_2020-00:46:51,51.637,100.713445312,33.504,83,1595465211
84,7.51,23_07_2020-00:46:52,65.194,100.7163125,33.672,84,1595465212
85,6.8,23_07_2020-00:46:53,74.244,100.718269531,33.685,85,1595465213
86,7.43,23_07_2020-00:46:54,80.032,100.71796875,33.713,86,1595465214
87,6.79,23_07_2020-00:46:55,83.152,100.717894531,33.866,87,1595465215
88,6.86,23_07_2020-00:46:56,85.049,100.717175781,33.793,88,1595465216
89,7.5,23_07_2020-00:46:58,87.272,100.715886718,33.917,89,1595465218
90,7.23,23_07_2020-00:46:59,88.165,100.717179687,33.975,90,1595465219
91,6.88,23_07_2020-00:47:00,87.785,100.718382812,34.038,91,1595465220
92,7.56,23_07_2020-00:47:01,88.601,100.716308593,34.166,92,1595465221
93,7.32,23_07_2020-00:47:02,89.308,100.717953125,34.108,93,1595465222
94,6.95,23_07_2020-00:47:03,88.781,100.717542968,34.146,94,1595465223
95,7.51,23_07_2020-00:47:05,88.856,100.718746093,34.194,95,1595465225
96,6.93,23_07_2020-00:47:06,87.695,100.719210937,34.297,96,1595465226
97,7.32,23_07_2020-00:47:07,89.537,100.719921875,34.319,97,1595465227
98,7.0,23_07_2020-00:47:08,88.995,100.717585937,34.357,98,1595465228
99,7.49,23_07_2020-00:47:09,89.241,100.71684375,34.355,99,1595465229
