TIMESTAMP,DATETIME,GLOBAL_CELL_ID,CELLT_AVG_NUM_SESS,CELLT_AVG_THP_DL,CELLT_AVG_RESR_PER_TTI_DL,CELLT_AVG_THPMRF_DL,CELLT_SUM_THPTIME_DL,CELLT_SUM_ACKVOL_DL,CELLT_AGG_THPMRF_TOTAL_DL,CELLT_AGG_COLL_PER_TTI_DL,CELLT_AGG_PAYLOAD_FRAC_DL,CELLT_AGG_SPECF_DL,CELLT_AGG_THP_DL,DATETIME_UTC,DATETIME_Melbourne,WEEKDAY_UTC,HOUR_UTC,MONTH_UTC,MINUTE_OF_DAY_UTC,DATE_UTC,WEEKDAY_Melbourne,HOUR_Melbourne,MONTH_Melbourne,MINUTE_OF_DAY_Melbourne,DATE_Melbourne
1474500060,2016-09-21 23:21:00,135718657,0,0,0,0,0,0,NA,NA,NA,NA,NA,2016-09-21 23:21:00+00:00,2016-09-22 09:21:00+10:00,21,23,9,1401,2016_9_21,22,9,9,561,2016_9_22
1474500120,2016-09-21 23:22:00,135718657,0,0,0,0,0,0,NA,NA,NA,NA,NA,2016-09-21 23:22:00+00:00,2016-09-22 09:22:00+10:00,21,23,9,1402,2016_9_21,22,9,9,562,2016_9_22
1474500180,2016-09-21 23:23:00,135718657,0,0,0,0,0,0,NA,NA,NA,NA,NA,2016-09-21 23:23:00+00:00,2016-09-22 09:23:00+10:00,21,23,9,1403,2016_9_21,22,9,9,563,2016_9_22
1474500240,2016-09-21 23:24:00,135718657,0,0,0,0,0,0,NA,NA,NA,NA,NA,2016-09-21 23:24:00+00:00,2016-09-22 09:24:00+10:00,21,23,9,1404,2016_9_21,22,9,9,564,2016_9_22
1474500300,2016-09-21 23:25:00,135718657,0,0,0,0,0,0,NA,NA,NA,NA,NA,2016-09-21 23:25:00+00:00,2016-09-22 09:25:00+10:00,21,23,9,1405,2016_9_21,22,9,9,565,2016_9_22
1474500360,2016-09-21 23:26:00,135718657,0,0,0,0,0,0,NA,NA,NA,NA,NA,2016-09-21 23:26:00+00:00,2016-09-22 09:26:00+10:00,21,23,9,1406,2016_9_21,22,9,9,566,2016_9_22
1474500420,2016-09-21 23:27:00,135718657,0,0,0,0,0,0,NA,NA,NA,NA,NA,2016-09-21 23:27:00+00:00,2016-09-22 09:27:00+10:00,21,23,9,1407,2016_9_21,22,9,9,567,2016_9_22
1474500480,2016-09-21 23:28:00,135718657,0,0,0,0,0,0,NA,NA,NA,NA,NA,2016-09-21 23:28:00+00:00,2016-09-22 09:28:00+10:00,21,23,9,1408,2016_9_21,22,9,9,568,2016_9_22
1474500540,2016-09-21 23:29:00,135718657,0,0,0,0,0,0,NA,NA,NA,NA,NA,2016-09-21 23:29:00+00:00,2016-09-22 09:29:00+10:00,21,23,9,1409,2016_9_21,22,9,9,569,2016_9_22
1474500600,2016-09-21 23:30:00,135718657,0,0,0,0,0,0,NA,NA,NA,NA,NA,2016-09-21 23:30:00+00:00,2016-09-22 09:30:00+10:00,21,23,9,1410,2016_9_21,22,9,9,570,2016_9_22
1474500660,2016-09-21 23:31:00,135718657,0,0,0,0,0,0,NA,NA,NA,NA,NA,2016-09-21 23:31:00+00:00,2016-09-22 09:31:00+10:00,21,23,9,1411,2016_9_21,22,9,9,571,2016_9_22
1474500720,2016-09-21 23:32:00,135718657,0,0,0,0,0,0,NA,NA,NA,NA,NA,2016-09-21 23:32:00+00:00,2016-09-22 09:32:00+10:00,21,23,9,1412,2016_9_21,22,9,9,572,2016_9_22
1474500780,2016-09-21 23:33:00,135718657,0,0,0,0,0,0,NA,NA,NA,NA,NA,2016-09-21 23:33:00+00:00,2016-09-22 09:33:00+10:00,21,23,9,1413,2016_9_21,22,9,9,573,2016_9_22
1474500840,2016-09-21 23:34:00,135718657,0,0,0,0,0,0,NA,NA,NA,NA,NA,2016-09-21 23:34:00+00:00,2016-09-22 09:34:00+10:00,21,23,9,1414,2016_9_21,22,9,9,574,2016_9_22
1474500900,2016-09-21 23:35:00,135718657,0,0,0,0,0,0,NA,NA,NA,NA,NA,2016-09-21 23:35:00+00:00,2016-09-22 09:35:00+10:00,21,23,9,1415,2016_9_21,22,9,9,575,2016_9_22
1474500960,2016-09-21 23:36:00,135718657,0,0,0,0,0,0,NA,NA,NA,NA,NA,2016-09-21 23:36:00+00:00,2016-09-22 09:36:00+10:00,21,23,9,1416,2016_9_21,22,9,9,576,2016_9_22
1474501020,2016-09-21 23:37:00,135718657,0,0,0,0,0,0,NA,NA,NA,NA,NA,2016-09-21 23:37:00+00:00,2016-09-22 09:37:00+10:00,21,23,9,1417,2016_9_21,22,9,9,577,2016_9_22
1474501080,2016-09-21 23:38:00,135718657,0,0,0,0,0,0,NA,NA,NA,NA,NA,2016-09-21 23:38:00+00:00,2016-09-22 09:38:00+10:00,21,23,9,1418,2016_9_21,22,9,9,578,2016_9_22
1474501140,2016-09-21 23:39:00,135718657,10.8741499900818,1129.52788987479,670.787473480998,507.695825039815,7.5770836041115,8471459.17406092,0,1.14251992991193,0.982964703275329,1.67209904484456,8890.12246709183,2016-09-21 23:39:00+00:00,2016-09-22 09:39:00+10:00,21,23,9,1419,2016_9_21,22,9,9,579,2016_9_22
1474501200,2016-09-21 23:40:00,135718657,21.8578666806221,2075.84171118427,1208.86844092264,936.985623430971,16.4077655533989,15568812.833882,0,1.18978314787801,0.983162413751182,1.6642550178361,7489.098747803,2016-09-21 23:40:00+00:00,2016-09-22 09:40:00+10:00,21,23,9,1420,2016_9_21,22,9,9,580,2016_9_22
1474501260,2016-09-21 23:41:00,135718657,27.3737000068029,2448.19924383254,1168.74200302335,880.404294255973,8.02746834283543,18361494.3287441,0,1.14557574924809,0.988505031990808,2.58555404273628,18229.6493633428,2016-09-21 23:41:00+00:00,2016-09-22 09:41:00+10:00,21,23,9,1421,2016_9_21,22,9,9,581,2016_9_22
1474501320,2016-09-21 23:42:00,135718657,36.4331833362579,6833.86869672452,2465.62150213211,1892.98404699538,18.3808412252647,51254015.2254339,0,1.26568155088424,0.988843654412828,3.64528355095161,22348.6233199078,2016-09-21 23:42:00+00:00,2016-09-22 09:42:00+10:00,21,23,9,1422,2016_9_21,22,9,9,582,2016_9_22
1474501380,2016-09-21 23:43:00,135718657,33.1473833401998,3652.99298297966,1430.51068883401,1005.65935470041,8.70382210640906,27397447.3723475,0,1.21725495737131,0.986576509280009,3.81907184446663,25218.9936929683,2016-09-21 23:43:00+00:00,2016-09-22 09:43:00+10:00,21,23,9,1423,2016_9_21,22,9,9,583,2016_9_22
1474501440,2016-09-21 23:44:00,135718657,29.1338499903679,2066.91836901016,1025.67125090932,626.62688861017,5.19497570388404,15501887.7675762,0,1.09283815329583,0.969917435765775,2.97889718970551,24064.3507861769,2016-09-21 23:44:00+00:00,2016-09-22 09:44:00+10:00,21,23,9,1424,2016_9_21,22,9,9,584,2016_9_22
1474501500,2016-09-21 23:45:00,135718657,33.7652166803678,6638.64267546999,2422.28799941486,1772.88479018289,13.7219737618513,49789820.0660249,0,1.23567410018159,0.989579100242616,3.90001721295989,29054.8118867266,2016-09-21 23:45:00+00:00,2016-09-22 09:45:00+10:00,21,23,9,1425,2016_9_21,22,9,9,585,2016_9_22
1474501560,2016-09-21 23:46:00,135718657,38.1994333187739,6645.51184511123,2518.52477555078,1780.8334046729,13.1325695402269,49841338.8383342,0,1.23757228777977,0.989359478377154,3.9045002915523,30402.8306980786,2016-09-21 23:46:00+00:00,2016-09-22 09:46:00+10:00,21,23,9,1426,2016_9_21,22,9,9,586,2016_9_22
1474501620,2016-09-21 23:47:00,135718657,47.8218500177066,12526.9009712864,4006.52765783306,3000.4673319452,24.7253706334528,93951757.2846478,0,1.33580810457549,0.990150449980887,4.32587047041429,30436.0051518569,2016-09-21 23:47:00+00:00,2016-09-22 09:47:00+10:00,21,23,9,1427,2016_9_21,22,9,9,587,2016_9_22
1474501680,2016-09-21 23:48:00,135718657,48.3744000236193,12387.0242229778,3891.69023842088,2917.24402523014,24.1499878649532,92902681.6723332,0,1.33448542921169,0.990097181096402,4.43393478773187,30845.6545051931,2016-09-21 23:48:00+00:00,2016-09-22 09:48:00+10:00,21,23,9,1428,2016_9_21,22,9,9,588,2016_9_22
1474501740,2016-09-21 23:49:00,135718657,47.1973166624705,9320.71397465252,3185.89780657994,2268.34328701145,17.4653414949866,69905354.8098939,0,1.28636802902659,0.989602355664683,4.31043618164665,32060.23846024,2016-09-21 23:49:00+00:00,2016-09-22 09:49:00+10:00,21,23,9,1429,2016_9_21,22,9,9,589,2016_9_22
1474501800,2016-09-21 23:50:00,135718657,40.5535666664441,8054.69120642394,2921.91315363992,2010.92827658279,14.1795712925832,60410184.0481795,0,1.24303691251206,0.988857054794337,4.19780145871647,34182.2944418512,2016-09-21 23:50:00+00:00,2016-09-22 09:50:00+10:00,21,23,9,1430,2016_9_21,22,9,9,590,2016_9_22
1474501860,2016-09-21 23:51:00,135718657,39.2615999937058,4955.72683636968,2246.65084802113,1476.44062880748,9.68725805986127,37167951.2727726,0,1.1628955434859,0.987105287924386,3.45494091262151,30739.0408422218,2016-09-21 23:51:00+00:00,2016-09-22 09:51:00+10:00,21,23,9,1431,2016_9_21,22,9,9,591,2016_9_22
1474501920,2016-09-21 23:52:00,135718657,44.3768833359083,6937.55945497527,2617.76346699882,1759.55769557064,11.7188255065647,52031695.9123146,0,1.16542547396852,0.987684524894452,4.14019018974141,35571.7554491745,2016-09-21 23:52:00+00:00,2016-09-22 09:52:00+10:00,21,23,9,1432,2016_9_21,22,9,9,592,2016_9_22
1474501980,2016-09-21 23:53:00,135718657,40.8530333042145,6109.86858037186,2683.76568580413,1883.87574565894,12.0319774661714,45824014.3527889,0,1.17789399852359,0.987917190966551,3.35324017552492,30455.3178765829,2016-09-21 23:53:00+00:00,2016-09-22 09:53:00+10:00,21,23,9,1433,2016_9_21,22,9,9,593,2016_9_22
